,year,round,pick,player,position,school
285,1986,1,6,"Bedford, William",C,Memphis State
286,1986,1,7,"Tarpley, Roy",C,Michigan
287,1986,1,8,"Harper, Ron",SF,Miami (OH)
288,1986,1,9,"Sellers, Brad",C,Ohio State
289,1986,1,10,"Dawkins, Johnny",PG,Duke
290,1986,1,11,"Salley, John",PF,Georgia Tech
291,1986,1,12,"Williams, John",PF,LSU
292,1986,1,13,"Washington, Dwayne",PG,Syracuse
293,1986,1,14,"Berry, Walter",SF/PF,St. John's
294,1986,1,15,"Curry, Dell",SG/SF,Virginia Tech
295,1986,1,16,"Martin, Maurice",SF,Saint Joseph's
296,1986,1,17,"Pressley, Harold",SF,Villanova
297,1986,1,18,"Alarie, Mark",PF,Duke
298,1986,1,19,"Thompson, Billy",SF,Louisville
299,1986,1,20,"Johnson, Buck",SF,Alabama
300,1986,1,21,"Jones, Anthony",SF,UNLV
301,1986,1,22,"Skiles, Scott",PG,Michigan State
302,1986,1,23,"Barlow, Ken",PF,Notre Dame
303,1986,1,24,"Sabonis, Arvydas",C,Zalgiris
304,1986,2,25,"Price, Mark",PG,Georgia Tech
305,1986,2,26,"Dreiling, Greg",C,Kansas
306,1986,2,27,"Rodman, Dennis",PF,Southeastern Oklahoma State
307,1986,2,28,"Krystkowiak, Larry",PF,Montana
308,1986,2,29,"Newman, Johnny",SF,Richmond
309,1986,2,30,"McMillan, Nate",PG,NC State
310,1986,2,31,"Ward, Joe",SF,Georgia
311,1986,2,32,"Henderson, Cedric",PF,Georgia
312,1986,2,33,"Duckworth, Kevin",C,Eastern Illinois
313,1986,2,34,"Rogers, Johnny",PF,UC Irvine
314,1986,2,35,"Wagner, Milt",SG,Louisville
315,1986,2,36,"Mitchell, Steve",PG,UAB
316,1986,2,37,"Fasoulas, Panagiotis",C,NC State
317,1986,2,38,"Lampley, Lemone",C,DePaul
318,1986,2,39,"Addison, Rafael",SF,Syracuse
319,1986,2,40,"Binelli, Augusto",C,Virtus Bologna
320,1986,2,41,"Smith, Otis",SG,Jacksonville
321,1986,2,42,"Kellogg, Ron",SF,Kansas
322,1986,2,43,"Feitl, Dave",C,UTEP
323,1986,2,44,"Wingate, David",SG,Georgetown
324,1986,2,45,"Smith, Keith",PG,Loyola Marymount
325,1986,2,46,"Hornacek, Jeff",SG,Iowa State
326,1986,2,47,"Jackson, Michael",PG,Georgetown
327,1987,1,1,"Robinson, David",C,Navy
328,1987,1,2,"Gilliam, Armen",PF,UNLV
329,1987,1,3,"Hopson, Dennis",SF,Ohio State
330,1987,1,4,"Williams, Reggie",SF,Georgetown
331,1987,1,5,"Pippen, Scottie",SF,Central Arkansas
332,1987,1,6,Kenny Smith,PG,North Carolina
333,1987,1,7,Kevin Johnson,PG,California
334,1987,1,8,"Polynice, Olden",C,Virginia
335,1987,1,9,"McKey, Derrick",SF/PF,Alabama
336,1987,1,10,Horace Grant,PF/C,Clemson
337,1987,1,11,Reggie Miller,SG,UCLA
338,1987,1,12,"Bogues, Muggsy",PG,Wake Forest
339,1987,1,13,"Wolf, Joe",C,North Carolina
340,1987,1,14,"Frank, Tellis",PF,WKU
341,1987,1,15,"Ortiz, Jos̩",PF,Oregon State
342,1987,1,16,"Welp, Christian",C,Washington
343,1987,1,17,"Murphy, Ronnie",SG,Jacksonville
344,1987,1,18,"Jackson, Mark",PG,St. John's
345,1987,1,19,"Norman, Ken",SF,Illinois
346,1987,1,20,"Farmer, Jim",SG,Alabama
