player_id,year,round,pick,Player,Class,Pos,School,Conf_x,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team_Rk,W,L,BPI Off,BPI Def,BPI,Player_Rank,Outside100,Height,Weight
50,2017,2,34,Frank Mason III,SR,G,Kansas,Big 12,36,36.1,6.7,13.7,4.4,8.8,2.3,4.8,5.3,6.6,0.6,3.6,4.2,5.2,1.3,0.1,2.4,2,20.9,4,31,5,12.1,6.3,18.4,0,1,72,170
51,2015,2,40,Josh Richardson,SR,G,Tennessee,SEC,32,36.3,5.8,12.5,4.3,8.5,1.4,4,3.1,3.9,0.9,3.6,4.5,3.6,2.1,0.5,2.7,2.5,16,99,16,16,-0.3,4.8,4.5,0,1,77,185
52,2011,2,32,Justin Harper,SR,F,Richmond,A-10,37,31.8,6.6,12.4,4.5,7.8,2.1,4.6,2.5,3.2,1.7,5.2,6.9,1.2,0.6,1.2,1.5,2.2,17.9,40,29,8,2.8,7.4,10.2,0,1,80,195
53,2014,2,32,K.J. McDaniels,JR,F,Clemson,ACC,36,33.7,5.8,12.6,4.6,8.8,1.2,3.8,4.3,5.1,2.4,4.7,7.1,1.6,1.1,2.8,2.3,2.2,17.1,42,23,13,-4,13.2,9.2,0,1,78,190
54,2016,2,54,Kay Felder,JR,G,Oakland,Horizon,35,36.7,7.7,17.5,5.5,11.4,2.2,6.1,6.8,8.1,0.7,3.5,4.3,9.3,2,0.2,3.4,3,24.4,73,23,12,11.8,-5.3,6.5,0,1,69,165
55,2011,2,48,Keith Benson,SR,C,Oakland,Summit,35,32.4,6.6,12.1,6.3,11.4,0.3,0.7,4.5,7,2.7,7.5,10.1,1.1,0.8,3.6,1.9,3.1,17.9,69,25,10,13.4,-6.1,7.3,0,1,82,205
56,2011,1,22,Kenneth Faried,SR,F,Morehead State,OVC,35,34.7,6.7,10.7,6.7,10.7,0,0,4,6.9,5.7,8.8,14.5,1.1,1.9,2.3,2.6,3.1,17.3,86,24,10,-0.1,5.1,5,0,1,78,185
57,2012,2,47,Kevin Murphy,SR,G,Tennessee Tech,OVC,33,34.5,7.2,16.3,4.8,10.5,2.4,5.8,3.8,5.2,0.9,4.3,5.2,2.3,0.8,0.2,3.3,2.2,20.6,213,19,14,1.8,-4.5,-2.6,0,1,78,185
58,2012,2,44,Kim English,SR,G,Missouri,Big 12,35,33.6,4.9,9.4,2.7,4.5,2.2,4.9,2.5,3.4,0.9,3.4,4.2,1.6,1.3,0.3,1.7,2.4,14.5,8,30,5,14,1.9,15.9,0,1,77,180
59,2012,2,59,Marcus Denmon,SR,G,Missouri,Big 12,35,34.6,5.7,12.4,2.9,5.5,2.8,6.9,3.4,3.8,1,4,5,2.1,1.5,0,1.2,1,17.7,8,30,5,14,1.9,15.9,0,1,73,170
60,2012,2,49,Kyle O'Quinn,SR,C,Norfolk State,MEAC,36,31.3,5.7,9.9,5.5,9.1,0.2,0.9,4.3,6.2,3.2,7.2,10.3,1.4,0.7,2.7,2.6,3.3,15.9,210,26,10,-1.1,-1.3,-2.5,0,1,81,225
61,2017,1,7,Lauri Markkanen,FR,F,Arizona,Pac-12,37,30.8,5,10.2,3.1,5.8,1.9,4.4,3.7,4.4,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2,15.6,22,32,5,8.8,5.9,14.7,0,1,83,220
62,2017,2,53,Kadeem Allen,SO,G,Arizona,Pac-12,34,30,3.1,6.9,2.2,4.7,0.9,2.2,2.5,3.4,0.4,3.7,4,3,1.6,0.6,1.9,2.4,9.8,22,32,5,8.8,5.9,14.7,0,1,75,170
63,2011,2,50,Lavoy Allen,SR,F,Temple,A-10,33,33.9,4.7,9.7,4.5,9.2,0.2,0.5,2.1,3,2.7,5.9,8.6,2.3,0.7,1.8,1.6,2.3,11.6,33,26,8,4.1,6.6,10.7,0,1,81,225
64,2011,1,14,Marcus Morris,JR,F,Kansas,Big 12,38,28.3,6.3,11.1,5.6,9.1,0.7,2,3.9,5.7,2.6,5,7.6,1.6,0.8,0.6,1.8,2.6,17.2,2,35,3,13.3,6.5,19.8,0,1,81,215
65,2011,1,13,Markieff Morris,JR,F,Kansas,Big 12,38,24.4,5.1,8.7,4.5,7.2,0.7,1.6,2.7,4,2.7,5.6,8.3,1.4,0.8,1.1,2.1,2.8,13.6,2,35,3,13.3,6.5,19.8,0,1,81,230
66,2014,2,44,Markel Brown,SR,G,Oklahoma State,Big 12,34,35.3,5.6,11.8,4,7.6,1.6,4.3,4.4,5.7,1.1,4.2,5.3,2.9,1,1,1.6,2.5,17.2,17,21,13,10.3,3.8,14.1,0,1,76,185
67,2015,2,45,Marcus Thornton,SR,G,William & Mary,CAA,33,36.7,6.5,14.3,3.4,6.6,3.1,7.7,3.8,4.6,0.3,2.5,2.8,2.9,0.6,0.1,2.3,1.1,20,97,20,13,5.2,-0.7,4.5,0,1,76,195
68,2011,1,25,Marshon Brooks,SR,G,Providence,Big East,32,36.5,8.6,17.8,6.5,11.7,2.1,6.2,5.3,6.8,2.3,4.8,7,2.5,1.5,1.2,3.1,2.5,24.6,102,15,17,8,-3.9,4.1,0,1,77,175
69,2013,2,44,Mike Muscala,SR,F,Bucknell,Patriot,34,31.7,6.7,13.1,6.6,12.6,0.1,0.5,5.3,6.7,2.9,8.2,11.1,2.3,0.5,2.4,1.7,2.2,18.7,55,28,6,0.5,7.4,7.9,0,1,79,215
70,2012,2,43,Mike Scott,SR,G,Fairleigh Dickinson,NEC,29,37.2,4.3,11.4,2.2,6.1,2.1,5.3,4.2,5.1,1,4.2,5.2,4.4,1.6,0.2,3.6,3.3,14.9,27,22,10,-3.1,14,11,0,1,79,220
71,2013,2,38,Nate Wolters,SR,G,South Dakota State,Summit,33,38.1,7.3,15.1,5.4,10,1.9,5.1,5.7,7,1.1,4.5,5.6,5.8,1.7,0.1,2.3,1.5,22.3,88,25,10,4.8,-0.2,4.7,0,1,75,185
72,2011,1,28,Norris Cole,SR,G,Cleveland State,Horizon,36,35.7,7,15.9,5.6,11.8,1.4,4.1,6.3,7.4,0.8,5.1,5.8,5.3,2.2,0.1,2.7,2.4,21.7,70,27,9,2.1,4.5,6.6,0,1,71,165
73,2015,2,42,Olivier Hanlan,JR,G,Boston College,ACC,32,37.6,7,15.5,5,9.8,2,5.8,3.4,4.5,0.8,3.5,4.2,4.2,1.3,0,2.7,2.1,19.5,95,13,19,2.2,2.4,4.6,0,1,75,185
74,2012,2,36,Orlando Johnson,SR,G,UC-Santa Barbara,Big West,31,34.4,6.7,14.8,4.4,9.5,2.3,5.3,4.1,5.9,1.7,4.1,5.8,2.9,1.1,0.7,2.5,1.8,19.7,93,20,11,3.8,0.9,4.7,0,1,77,205
75,2016,1,27,Pascal Siakam,SO,F,New Mexico State,WAC,34,34.6,8.1,15,8,14.6,0.1,0.4,4,5.9,3.9,7.7,11.6,1.7,1,2.2,2,2.7,20.3,113,23,11,-2.7,6,3.3,0,1,80,210
