,Unnamed: 0,year,round,pick,position,school,Player,Class,Season,Pos,School,Conf_x,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,teamyear,Rk,Team,Conf_y,W-L,BPI Off,BPI Def,BPI,Year,identifier_hs,Rank,Name,Position,Height,Weight,Player
214,209,2015,2,32,PF,Louisville,Montrezl Harrell,JR,2014-15,F,Louisville,ACC,35,35.1,6.1,10.7,5.8,9.7,0.3,1.1,3.3,5.5,3.2,6,9.2,1.4,0.9,1.2,2,2.1,15.7,Louisville2015,12,Louisville,ACC,27-9,5.1,9.8,14.8,2015,Montrezl Harrell,90,Montrezl Harrell,PF,80,215,Montrezl Harrell
187,55,2014,2,60,PF,Baylor,Cory Jefferson,SR,2013-14,F,Baylor,Big 12,38,29,4.8,9.7,4.5,8.7,0.4,1,3.6,5.6,2.8,5.4,8.2,1,0.4,1.3,1.3,2.2,13.7,Baylor2014,31,Baylor,Big 12,26-12,5.8,5.2,11,2014,,89,,,81,190,Cory Jefferson
291,156,2017,1,15,SF,North Carolina,Justin Jackson,JR,2016-17,F,North Carolina,ACC,40,32,6.6,14.9,4,7.8,2.6,7.1,2.5,3.3,1.5,3.2,4.7,2.8,0.8,0.2,1.7,1.4,18.3,North Carolina2017,3,North Carolina,ACC,33-7,11.3,8.2,19.4,2017,Justin Jackson,86,Justin Jackson,PF,80,210,Justin Jackson
59,250,2012,2,41,PG,Kansas,Tyshawn Taylor,SR,2011-12,G,Kansas,Big 12,39,33.4,5.8,12.2,4.3,8.3,1.5,3.9,3.5,5.1,0.2,2.1,2.3,4.8,1.3,0.2,3.5,2,16.6,Kansas2012,7,Kansas,Big 12,32-7,8.2,7.8,16.1,2012,,86,,,74,185,Tyshawn Taylor
105,253,2013,1,9,PG,Michigan,Trey Burke,SO,2012-13,G,Michigan,Big Ten,39,35.3,6.6,14.4,4.7,9.3,1.9,5.1,3.4,4.3,0.5,2.6,3.2,6.7,1.6,0.5,2.2,1.9,18.6,Michigan2013,8,Michigan,Big Ten,31-8,11,5,16.1,2013,Trey Burke,84,Trey Burke,PG,73,170,Trey Burke
322,268,2017,2,51,PG,Iowa State,Monte Morris,SR,2016-17,G,Iowa State,Big 12,35,35.3,6.2,13.3,4.6,9.2,1.5,4.1,2.5,3.2,1.1,3.7,4.8,6.2,1.5,0.3,1.2,1.5,16.4,Iowa State2017,21,Iowa State,Big 12,24-11,9.6,5.1,14.7,2017,Monte Morris,84,Monte Morris,PG,73,165,Monte Morris
266,280,2016,2,46,C,Purdue,A. J. Hammons,SR,2015-16,C,Purdue,Big Ten,33,24.6,6,10.2,5.8,9.8,0.2,0.3,2.7,3.8,2.3,5.8,8.2,1.1,0.3,2.5,2,2.4,15,Purdue2016,9,Purdue,Big Ten,26-9,7.7,8.2,15.9,2016,,82,,,84,275,A. J. Hammons
58,321,2012,2,39,SF,Texas A&M,Khris Middleton,JR,2011-12,F,Texas A&M,SEC,20,28.8,5.1,12.3,4.1,8.5,1,3.9,2,2.6,1.3,3.7,5,2.3,1,0.3,2.2,1.9,13.2,Texas A&M2012,126,Texas A&M,Big 12,14-18,-4.3,7,2.7,2012,Khris Middleton,82,Khris Middleton,SF,79,195,Khris Middleton
216,17,2015,2,34,SF,Stanford,Anthony Brown,SR,2014-15,G,Stanford,Pac-12,37,35.7,4.8,11,2.6,6.2,2.1,4.8,3.1,3.9,1.1,5.8,6.9,2.5,0.8,0.2,1.9,2.1,14.8,Stanford2015,75,Stanford,Pac-12,24-13,6,0,6,2015,Anthony Brown,81,Anthony Brown,SF,78,180,Anthony Brown
255,282,2016,1,30,C,Vanderbilt,Damian Jones,JR,2015-16,C,Vanderbilt,SEC,33,26.2,5.6,9.5,5.6,9.4,0,0.1,2.7,5.1,2.2,4.6,6.9,1.2,0.2,1.6,2,3.3,13.9,Vanderbilt2016,17,Vanderbilt,SEC,19-14,6,7.6,13.6,2016,Damian Jones,81,Damian Jones,PF,81,220,Damian Jones
