,Unnamed: 0,year,round,pick,position,school,Player,Class,Season,Pos,School,Conf_x,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,teamyear,Rk,Team,Conf_y,W-L,BPI Off,BPI Def,BPI,Year,identifier_hs,Rank,Name,Position,Height,Weight,Player
43,234,2012,1,16,PF,Iowa State,Royce White,SO,2011-12,F,Iowa State,Big 12,34,31.5,5.1,9.6,5,9.3,0.1,0.4,3,6,2.5,6.8,9.3,5,1.2,0.9,3.8,2.6,13.4,Iowa State2012,37,Iowa State,Big 12,23-11,7.2,2.6,9.7,2012,Royce White,35,Royce White,PF,79,220,Royce White
251,41,2016,1,25,PF,North Carolina,Brice Johnson,SR,2015-16,F,North Carolina,ACC,40,28,7.2,11.6,7.2,11.6,0,0,3.9,4.9,2.9,7.5,10.4,1.5,1.1,1.5,1.8,2.7,18.2,North Carolina2016,2,North Carolina,ACC,33-6,13.8,4.8,18.7,2016,Brice Johnson,34,Brice Johnson,PF,81,210,Brice Johnson
313,270,2017,2,39,PG,Oklahoma State,Jawun Evans,SO,2016-17,G,Oklahoma State,Big 12,32,29.3,6.6,15.1,5.5,12.1,1.1,3,4.8,6,0.8,2.7,3.4,6.4,1.8,0.1,2.8,2.3,19.2,Oklahoma State2017,26,Oklahoma State,Big 12,20-13,11.1,1.3,12.4,2017,Jawun Evans,33,Jawun Evans,PG,72,180,Jawun Evans
27,194,2011,2,43,SG,UCLA,Malcolm Lee,JR,2010-11,G,UCLA,Pac-10,33,33.1,4.3,9.8,3.1,5.8,1.2,4,3.4,4.4,0.7,2.4,3.1,2,0.7,0.2,1.7,2.4,13.1,UCLA2011,74,UCLA,Pac-12,23-11,3.3,2.7,6,2011,,33,,,76,170,Malcolm Lee
63,19,2012,2,46,SF,Kentucky,Darius Miller,JR,2010-11,G,Kentucky,SEC,38,31,3.9,8.2,2.4,4.8,1.5,3.4,1.5,1.8,1.3,3.2,4.6,1.7,0.8,1.1,1.5,2.6,10.9,Kentucky2012,2,Kentucky,SEC,38-2,11.9,8.2,20.1,2012,,33,,,79,225,Darius Miller
160,108,2014,1,23,SG,Duke,Rodney Hood,SO,2013-14,F,Duke,ACC,35,32.9,5.5,11.8,3.4,6.9,2,4.8,3.1,3.9,0.8,3.1,3.9,2.1,0.7,0.3,1.5,2.6,16.1,Duke2014,3,Duke,ACC,26-9,13.6,5.2,18.8,2014,Rodney Hood,31,Rodney Hood,SF,79,190,Rodney Hood
53,247,2012,1,8,SG,Washington,Terrence Ross,SO,2011-12,G,Washington,Pac-12,35,31.1,6.1,13.4,4.1,7.9,2.1,5.5,2.1,2.7,1.4,5.1,6.4,1.4,1.3,0.9,2,2.8,16.4,Washington2012,80,Washington,Pac-12,24-11,7.3,-1.6,5.7,2012,Terrence Ross,30,Terrence Ross,SF,78,180,Terrence Ross
274,63,2016,2,56,SG/SF,Connecticut,Daniel Hamilton,SO,2015-16,G,Connecticut,AAC,36,31.9,4.4,11.4,3.1,7.5,1.3,3.9,2.4,2.8,0.9,8,8.9,4.7,1.1,0.4,2.4,1.8,12.5,Connecticut2016,18,Connecticut,American,25-11,4.4,9.1,13.5,2016,Daniel Hamilton,30,Daniel Hamilton,SG,78,175,Daniel Hamilton
85,20,2012,2,42,SG,Kentucky,Doron Lamb,SO,2011-12,G,Kentucky,SEC,40,31.2,4.4,9.2,2.5,5.2,1.9,4.1,3.1,3.7,0.4,2.3,2.7,1.5,0.5,0.1,1.1,1.8,13.7,Kentucky2012,2,Kentucky,SEC,38-2,11.9,8.2,20.1,2012,Doron Lamb,29,Doron Lamb,SG,76,183,Doron Lamb
153,246,2014,1,14,SF,NC State,T.J. Warren,SO,2013-14,F,NC State,ACC,35,35.4,9.8,18.6,8.9,15.3,0.9,3.3,4.5,6.5,3.2,3.9,7.1,1.1,1.8,0.6,2.4,2.8,24.9,NC State2014,77,NC State,ACC,22-14,4.7,1.5,6.2,2014,,29,,,79,205,T.J. Warren
268,192,2016,2,49,SF,Syracuse,Michael Gbinije,SR,2015-16,F,Syracuse,ACC,37,37.9,6.1,13.2,3.6,6.9,2.5,6.3,2.9,4.3,1.1,3,4.1,4.3,1.9,0.4,2.8,2.6,17.5,Syracuse2016,32,Syracuse,ACC,23-14,1.5,9.5,11,2016,Michael Gbinije,29,Michael Gbinije,SF,78,194,Michael Gbinije
93,186,2013,2,52,PG,NC State,Lorenzo Brown,JR,2012-13,G,NC State,ACC,33,34.2,4.2,10.1,3.6,7.8,0.6,2.3,3.3,4.2,0.7,3.7,4.3,7.2,2,0.6,3.5,2,12.4,NC State2013,29,NC State,ACC,24-11,11.6,-0.4,11.3,2013,Lorenzo Brown,29,Lorenzo Brown,SG,76,180,Lorenzo Brown
247,277,2016,1,19,SG,Florida State,Malik Beasley,FR,2015-16,G,Florida State,ACC,34,29.8,5.4,11.6,3.8,7.4,1.6,4.2,3.1,3.8,1.3,4,5.3,1.5,0.9,0.2,1.7,2.2,15.6,Florida State2016,47,Florida State,ACC,20-14,7.9,1.5,9.4,2016,Malik Beasley,28,Malik Beasley,SG,76,185,Malik Beasley
158,215,2014,1,21,PF,Michigan,Mitch McGary,SO,2013-14,F,Michigan,Big Ten,8,24.8,3.8,6.9,3.8,6.6,0,0.3,2,3,2.9,5.4,8.3,1.5,1.9,0.8,1.6,3.1,9.5,Michigan2014,9,Michigan,Big Ten,28-9,8.7,7,15.7,2014,Mitch Mcgary,27,Mitch Mcgary,PF,82,225,Mitch McGary
20,112,2011,1,27,PF,Purdue,JaJuan Johnson,SR,2010-11,F,Purdue,Big Ten,34,35.4,7.6,15.3,7.1,13.8,0.4,1.5,5,6.1,2.4,6.1,8.6,1,0.9,2.3,1.6,1.6,20.5,Purdue2011,6,Purdue,Big Ten,26-8,7.1,9.1,16.2,2011,Jajuan Johnson,27,Jajuan Johnson,SG,77,185,JaJuan Johnson
154,95,2014,1,15,PF,Michigan State,Adreian Payne,SR,2013-14,C,Michigan State,Big Ten,21,28.1,5.7,11.4,4.3,8.1,1.4,3.4,3.5,4.5,1.5,5.7,7.3,1.3,0.5,0.9,2,2.6,16.4,Michigan State2014,11,Michigan State,Big Ten,29-9,8.5,6.9,15.4,2014,Adreian Payne,26,Adreian Payne,PF,81,215,Adreian Payne
35,53,2011,2,52,PF,Florida,Vernon Macklin,SR,2010-11,F,Florida,SEC,37,24.5,5.2,8.7,5.2,8.7,0,0,1.2,2.8,2.2,3.2,5.4,0.8,0.4,0.7,1.7,2.5,11.6,Florida2011,11,Florida,SEC,29-8,8.6,6.5,15.1,2011,,26,,,82,245,Vernon Macklin
230,242,2015,2,53,SF,St. John's,Sir'Dominic Pointer,SR,2014-15,G,St. John's (NY),Big East,33,34.6,5.3,10.1,5.2,9.4,0.1,0.8,3,4.2,1.9,5.7,7.7,3,1.9,2.4,2,3,13.7,St. John's2015,42,St. John's,Big East,21-12,6.3,2.9,9.2,2015,,25,,,78,195,Sir'Dominic Pointer
258,118,2016,2,34,PG,Kentucky,Tyler Ulis,SO,2015-16,G,Kentucky,SEC,35,36.8,5.5,12.6,3.9,8.1,1.6,4.6,4.8,5.6,0.5,2.5,3,7,1.5,0.1,2,1.8,17.3,Kentucky2016,8,Kentucky,SEC,27-9,9.8,6.4,16.2,2016,Tyler Ulis,25,Tyler Ulis,PG,69,150,Tyler Ulis
10,322,2011,1,18,SF,Florida State,Chris Singleton,JR,2010-11,F,Florida State,ACC,28,29.1,4.4,10.2,3.2,6.8,1.3,3.4,3,4.5,2.1,4.8,6.8,1.2,2,1.5,2.2,3.2,13.1,Florida State2011,35,Florida State,ACC,23-11,2.3,8.3,10.5,2011,,25,,,80,210,Chris Singleton
96,97,2013,2,56,PG,Louisville,Peyton Siva,SR,2012-13,G,Louisville,Big East,40,31.2,3.5,8.6,2.5,5.3,1,3.3,2.1,2.5,0.3,2.1,2.4,5.7,2.3,0.2,2.7,2.6,10,Louisville2013,2,Louisville,Big East,35-5,10.7,10.3,21,2013,Peyton Siva,25,Peyton Siva,PG,71,180,Peyton Siva
104,165,2013,1,8,SG,Georgia,Kentavious Caldwell-Pope,SO,2012-13,G,Georgia,SEC,32,33.9,5.8,13.4,3.2,6.4,2.6,7,4.2,5.3,1.2,5.9,7.1,1.8,2,0.5,2,2.2,18.5,Georgia2013,107,Georgia,SEC,15-17,-3.4,6.6,3.2,2013,Kentavious Caldwell Pope,24,Kentavious Caldwell Pope,SG,76,190,Kentavious Caldwell-Pope
124,251,2013,2,37,PF,North Texas,Tony Mitchell,SO,2010-11,F,Alabama,SEC,37,31.5,6.2,11.8,5.3,9.2,0.8,2.6,2.1,3.2,2.6,4.4,7.1,1.3,1.6,1.1,1.7,2.4,15.2,North Texas2013,252,North Texas,Sun Belt,20-Dec,-2.3,-2.8,-5,2013,Tony Mitchell,24,Tony Mitchell,PF,80,215,Tony Mitchell
212,288,2015,1,29,PF,Syracuse,Chris McCullough,FR,2014-15,F,Syracuse,ACC,16,28.1,3.4,7.1,3.3,7,0.1,0.1,2.5,4.4,2.3,4.6,6.9,1.1,1.7,2.1,2.2,2.6,9.3,Syracuse2015,25,Syracuse,ACC,18-13,4.3,6.4,10.7,2015,Chris Mccullough,24,Chris Mccullough,PF,82,220,Chris McCullough
265,74,2016,2,45,PG,Notre Dame,Demetrius Jackson,JR,2015-16,G,Notre Dame,ACC,35,36,5.5,12.2,4,7.6,1.5,4.7,3.2,4,0.9,2.6,3.5,4.7,1.2,0.3,2.2,1.9,15.8,Notre Dame2016,31,Notre Dame,ACC,24-12,6.6,4.4,11,2016,Demetrius Jackson,24,Demetrius Jackson,PG,73,170,Demetrius Jackson
288,187,2017,1,12,SG,Duke,Luke Kennard,SO,2016-17,G,Duke,ACC,37,35.5,6.4,13.1,4,7.7,2.4,5.4,4.3,5.1,1.2,3.9,5.1,2.5,0.8,0.4,1.6,2.2,19.5,Duke2017,7,Duke,ACC,28-9,11.8,5.9,17.7,2017,Luke Kennard,24,Luke Kennard,SG,77,180,Luke Kennard
232,287,2015,2,56,SF,Michigan State,Branden Dawson,SR,2014-15,F,Michigan State,Big Ten,35,30.1,5.2,9.7,5.2,9.7,0,0,1.5,3,2.9,6.2,9.1,1.7,1.2,1.7,1.9,2.1,11.9,Michigan State2015,16,Michigan State,Big Ten,27-12,7.6,6.2,13.7,2015,Branden Dawson,23,Branden Dawson,SF,78,220,Branden Dawson
237,31,2016,1,5,PG,Providence,Kris Dunn,JR,2015-16,G,Providence,Big East,33,33,5.6,12.5,4.3,9,1.3,3.4,4,5.8,1.1,4.2,5.3,6.2,2.5,0.6,3.5,2.8,16.4,Providence2016,62,Providence,Big East,24-11,3.8,3.6,7.4,2016,Kris Dunn,23,Kris Dunn,PG,75,180,Kris Dunn
250,191,2016,1,22,SG,Syracuse,Malachi Richardson,FR,2015-16,G,Syracuse,ACC,37,34.4,4.1,11.1,2,5.1,2.1,6.1,3.1,4.2,0.5,3.8,4.3,2.1,1.1,0.3,2.1,2.5,13.4,Syracuse2016,32,Syracuse,ACC,23-14,1.5,9.5,11,2016,Malachi Richardson,23,Malachi Richardson,SG,78,190,Malachi Richardson
326,262,2017,2,56,SG,California,Jabari Bird,SR,2016-17,G,California,Pac-12,27,32,5.2,11.8,2.8,5.2,2.4,6.6,1.6,2,1,3.7,4.7,1,0.7,0.2,1.9,1.9,14.3,California2017,56,California,Pac-12,21-13,0.4,7.7,8.1,2017,Jabari Bird,23,Jabari Bird,SG,78,190,Jabari Bird
58,99,2012,1,13,PG,North Carolina,Kendall Marshall,SO,2011-12,G,North Carolina,ACC,36,33,2.9,6.3,2.1,4.1,0.8,2.2,1.5,2.2,0.2,2.4,2.6,9.8,1.2,0.2,2.8,1.6,8.1,North Carolina2012,5,North Carolina,ACC,32-6,13.7,3.4,17.1,2012,Kendall Marshall,22,Kendall Marshall,PG,76,180,Kendall Marshall
175,1,2014,2,42,PG/SG,Arizona,Nick Johnson,JR,2013-14,G,Arizona,Pac-12,38,33.1,5.4,12.5,3.8,8,1.6,4.4,3.8,4.9,0.8,3.2,4.1,2.8,1.1,0.7,1.7,2,16.3,Arizona2014,4,Arizona,Pac-12,33-5,5.9,11.8,17.7,2014,Nick Johnson,22,Nick Johnson,SG,75,185,Nick Johnson
256,77,2016,2,31,PF/C,Michigan State,Deyonta Davis,FR,2015-16,C,Michigan State,Big Ten,35,18.6,3.4,5.7,3.4,5.7,0,0,0.7,1.1,2.1,3.4,5.5,0.7,0.3,1.8,0.9,2.3,7.5,Michigan State2016,3,Michigan State,Big Ten,29-6,10.5,8.1,18.6,2016,Deyonta Davis,22,Deyonta Davis,PF,81,210,Deyonta Davis
273,42,2016,2,55,PG,North Carolina,Marcus Paige,SR,2015-16,G,North Carolina,ACC,34,31.6,4.3,10.9,2,4.4,2.3,6.5,2.4,3,0.4,2.1,2.5,3.7,1.1,0.4,1.2,1.5,13.4,North Carolina2016,2,North Carolina,ACC,33-6,13.8,4.8,18.7,2016,Marcus Paige,22,Marcus Paige,PG,73,160,Marcus Paige
11,177,2011,1,21,PG,Duke,Nolan Smith,SR,2010-11,G,Duke,ACC,37,34,7,15.4,5.5,10.9,1.5,4.4,5.1,6.2,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9,20.6,Duke2011,3,Duke,ACC,32-5,13.7,5.3,19,2011,,22,,,75,175,Nolan Smith
107,206,2013,1,11,PG,Syracuse,Michael Carter-Williams,SO,2012-13,G,Syracuse,Big East,40,35.2,3.9,9.9,3,6.9,0.9,3,3.2,4.7,1.3,3.7,5,7.3,2.7,0.5,3.5,2.3,11.9,Syracuse2013,11,Syracuse,Big East,30-10,7,8,15,2013,Michael Carter Williams,21,Michael Carter Williams,SG,77,175,Michael Carter-Williams
207,232,2015,1,23,SF,Arizona,Rondae Hollis-Jefferson,SO,2014-15,F,Arizona,Pac-12,38,28.7,3.6,7.2,3.5,6.5,0.2,0.8,3.8,5.4,2,4.8,6.8,1.6,1.2,0.8,1.6,2.5,11.2,Arizona2015,5,Arizona,Pac-12,34-4,10.7,8.9,19.6,2015,Rondae Hollis Jefferson,21,Rondae Hollis Jefferson,SF,79,215,Rondae Hollis-Jefferson
47,133,2012,1,23,SG,Vanderbilt,John Jenkins,JR,2011-12,G,Vanderbilt,SEC,35,33.6,6.2,13.1,2.4,4.4,3.8,8.7,3.7,4.4,0.5,2.4,2.9,1.2,0.8,0.3,1.6,1.2,19.9,Vanderbilt2012,18,Vanderbilt,SEC,25-11,8.2,4.4,12.6,2012,John Jenkins,21,John Jenkins,SG,76,175,John Jenkins
156,255,2014,1,18,PG,Syracuse,Tyler Ennis,FR,2013-14,G,Syracuse,ACC,34,35.7,4.4,10.6,3.5,8.1,0.9,2.5,3.4,4.4,0.8,2.6,3.4,5.5,2.1,0.2,1.7,2,12.9,Syracuse2014,16,Syracuse,ACC,28-6,1.7,12.6,14.3,2014,Tyler Ennis,20,Tyler Ennis,PG,74,180,Tyler Ennis
217,289,2015,2,36,PF/C,Syracuse,Rakeem Christmas,SR,2014-15,C,Syracuse,ACC,31,34.3,6.5,11.9,6.5,11.8,0,0,4.4,6.2,3.1,6,9.1,1.5,0.9,2.5,2.5,3.4,17.5,Syracuse2015,25,Syracuse,ACC,18-13,4.3,6.4,10.7,2015,Rakeem Christmas,20,Rakeem Christmas,C,81,222,Rakeem Christmas
316,267,2017,2,42,PF,Indiana,Thomas Bryant,SO,2016-17,F,Indiana,Big Ten,34,28.1,4.4,8.4,3.7,6.6,0.7,1.8,3.2,4.4,2.2,4.4,6.6,1.5,0.8,1.5,2.3,3.1,12.6,Indiana2017,32,Indiana,Big Ten,18-16,7.5,3.2,10.6,2017,Thomas Bryant,20,Thomas Bryant,C,82,220,Thomas Bryant
37,113,2011,2,55,SG,Purdue,Etwaun Moore,SR,2010-11,G,Purdue,Big Ten,34,33.9,6.5,14.5,4.4,9.4,2.1,5.1,2.9,4.1,1.5,3.6,5.1,3.2,1.2,0.5,1.8,2.1,18,Purdue2011,6,Purdue,Big Ten,26-8,7.1,9.1,16.2,2011,,20,,,75,185,Etwaun Moore
97,6,2013,2,57,C,Missouri,Alex Oriakhi,SO,2010-11,F,Connecticut,Big East,41,29.1,3.7,7.4,3.7,7.4,0,0,2.1,3.4,3.7,5,8.7,0.4,0.4,1.6,1.1,2.5,9.6,Missouri2013,19,Missouri,SEC,23-11,10.2,2.2,12.4,2013,Alex Oriakhi,20,Alex Oriakhi,C,80,230,Alex Oriakhi
201,291,2015,1,17,SG,UNLV,Rashad Vaughn,FR,2014-15,G,UNLV,MWC,23,32.3,6.3,14.3,3.9,8.1,2.3,6.1,3,4.3,0.6,4.2,4.8,1.6,0.8,0.3,2.2,2.3,17.8,UNLV2015,93,UNLV,MW,18-15,4.2,0.5,4.8,2015,Rashad Vaughn,19,Rashad Vaughn,SG,78,200,Rashad Vaughn
325,212,2017,2,55,PG,Gonzaga,Nigel Williams-Goss,JR,2016-17,G,Gonzaga,WCC,38,32.8,5.8,11.9,4.7,8.8,1.1,3.1,4.1,4.8,0.6,5.4,6,4.7,1.7,0.1,2.1,1.6,16.8,Gonzaga2017,1,Gonzaga,WCC,37-2,10.8,9.5,20.4,2017,Nigel Williams Goss,19,Nigel Williams Goss,PG,75,180,Nigel Williams-Goss
174,216,2014,2,40,SF,Michigan,Glenn Robinson III,SO,2013-14,F,Michigan,Big Ten,37,32.3,4.9,10.1,4,7.2,0.9,2.9,2.4,3.1,1.5,3,4.4,1.2,0.9,0.3,1.2,1.5,13.1,Michigan2014,9,Michigan,Big Ten,28-9,8.7,7,15.7,2014,Glenn Robinson III,18,Glenn Robinson III,SF,78,200,Glenn Robinson III
117,229,2013,1,25,SF,North Carolina,Reggie Bullock,JR,2012-13,G,North Carolina,ACC,35,31.4,4.9,10.2,2.4,4.4,2.5,5.8,1.6,2.1,2,4.4,6.5,2.9,1.3,0.3,1.2,1.4,13.9,North Carolina2013,31,North Carolina,ACC,25-11,10,1.1,11.1,2013,Reggie Bullock,18,Reggie Bullock,SG,78,190,Reggie Bullock
197,13,2015,1,13,SG,Kentucky,Devin Booker,FR,2014-15,G,Kentucky,SEC,38,21.5,3.6,7.6,2,3.8,1.5,3.7,1.4,1.7,0.4,1.6,2,1.1,0.4,0.1,1,1.5,10,Kentucky2015,1,Kentucky,SEC,38-1,10.3,13.6,23.9,2015,Devin Booker,18,Devin Booker,SG,77,185,Devin Booker
123,302,2013,2,36,PG,Detroit,Ray McCallum Jr.,JR,2012-13,G,Detroit,Horizon,33,36.6,6.5,13.2,5.2,9.3,1.3,3.9,4.5,6.2,1.3,3.8,5.1,4.5,1.9,0.6,2.1,2,18.7,Detroit2013,76,Detroit,Horizon,20-13,10.1,-3.4,6.6,2013,Ray Mccallum Jr,17,Ray Mccallum Jr,PG,73,179,Ray McCallum Jr.
89,204,2013,2,48,PF,Duke,Ryan Kelly,SR,2012-13,F,Duke,ACC,23,28.9,4.2,9.2,2.7,5.6,1.5,3.6,3,3.7,1.6,3.7,5.3,1.7,0.7,1.6,1,2.4,12.9,Duke2013,4,Duke,ACC,30-6,12.2,5.4,17.6,2013,Ryan Kelly,17,Ryan Kelly,PF,82,210,Ryan Kelly
69,248,2012,1,25,PG,Washington,Tony Wroten,FR,2011-12,G,Washington,Pac-12,35,30.3,5.7,12.8,5.4,11.2,0.3,1.6,4.4,7.5,2.3,2.7,5,3.7,1.9,0.4,3.8,2.7,16,Washington2012,80,Washington,Pac-12,24-11,7.3,-1.6,5.7,2012,Tony Wroten,17,Tony Wroten,PG,76,206,Tony Wroten
202,93,2015,1,18,SF,Wisconsin,Sam Dekker,JR,2014-15,F,Wisconsin,Big Ten,40,31,5.3,10.2,4.1,6.4,1.3,3.8,2,2.8,1.9,3.6,5.5,1.2,0.5,0.5,0.9,1.1,13.9,Wisconsin2015,3,Wisconsin,Big Ten,36-3,10.4,11.3,21.7,2015,Sam Dekker,17,Sam Dekker,SF,79,195,Sam Dekker
303,158,2017,1,28,PF/C,North Carolina,Tony Bradley,FR,2016-17,C,North Carolina,ACC,38,14.6,2.7,4.7,2.7,4.7,0,0,1.7,2.8,2.6,2.6,5.1,0.6,0.3,0.6,0.7,1.8,7.1,North Carolina2017,3,North Carolina,ACC,33-7,11.3,8.2,19.4,2017,Tony Bradley,17,Tony Bradley,C,82,235,Tony Bradley
22,56,2011,1,29,PG,Texas,Cory Joseph,FR,2010-11,G,Texas,Big 12,36,32.4,3.8,8.9,2.3,5.4,1.4,3.5,1.4,2,0.6,2.9,3.6,3,1,0.3,1.5,1.8,10.4,Texas2011,7,Texas,Big 12,28-8,8,8.1,16.1,2011,Cory Joseph,16,Cory Joseph,PG,75,180,Cory Joseph
206,35,2015,1,22,PF,Arkansas,Bobby Portis,SO,2014-15,F,Arkansas,SEC,36,29.9,6.9,12.9,6.6,12.1,0.4,0.8,3.2,4.3,3.7,5.2,8.9,1.2,1.1,1.4,1.6,2.2,17.5,Arkansas2015,33,Arkansas,SEC,27-9,10.4,-0.4,10,2015,Bobby Portis,16,Bobby Portis,PF,81,225,Bobby Portis
119,308,2013,1,29,SG,Kentucky,Archie Goodwin,FR,2012-13,G,Kentucky,SEC,33,31.8,4.8,10.8,4.2,8.9,0.5,1.9,4.1,6.4,1.5,3.2,4.6,2.7,1.1,0.5,3.1,2.9,14.1,Kentucky2013,22,Kentucky,SEC,21-12,7.8,4.2,12,2013,Archie Goodwin,15,Archie Goodwin,SG,77,181,Archie Goodwin
49,173,2012,1,4,SG,Syracuse,Dion Waiters,SO,2011-12,G,Syracuse,ACC,37,24.1,4.6,9.6,3.5,6.6,1.1,3.1,2.3,3.2,0.5,1.8,2.3,2.5,1.8,0.3,1.3,1.9,12.6,Syracuse2012,3,Syracuse,Big East,34-3,9.9,8.4,18.3,2012,Dion Waiters,15,Dion Waiters,SG,76,210,Dion Waiters
194,110,2015,1,10,SF,Duke,Justise Winslow,FR,2014-15,F,Duke,ACC,39,29.1,4.4,9.1,3.3,6.3,1.2,2.8,2.6,4,1.3,5.2,6.5,2.1,1.3,0.9,1.8,2.8,12.6,Duke2015,2,Duke,ACC,34-4,16.4,6,22.4,2015,Justise Winslow,15,Justise Winslow,SF,78,218,Justise Winslow
298,271,2017,1,22,C,Texas,Jarrett Allen,FR,2016-17,C,Texas,Big 12,33,32.2,5.4,9.6,5.4,9.4,0,0.2,2.5,4.5,3,5.4,8.4,0.8,0.6,1.5,2.5,2.1,13.4,Texas2017,70,Texas,Big 12,22-Nov,0.2,6.2,6.4,2017,Jarrett Allen,15,Jarrett Allen,C,82,220,Jarrett Allen
100,306,2013,1,4,C/PF,Indiana,Cody Zeller,SO,2012-13,F,Indiana,Big Ten,36,29.5,5.5,9.8,5.5,9.8,0,0.1,5.4,7.2,2.8,5.2,8,1.3,1,1.3,2.3,2.2,16.5,Indiana2013,3,Indiana,Big Ten,29-7,13.8,6.4,20.2,2013,Cody Zeller,14,Cody Zeller,PF,83,210,Cody Zeller
264,105,2016,2,42,PG/SG,Seton Hall,Isaiah Whitehead,SO,2015-16,G,Seton Hall,Big East,34,32.3,5.7,15.1,3.3,8.5,2.4,6.5,4.4,5.8,0.5,3.1,3.6,5.1,1.2,1.4,3.5,2.3,18.2,Seton Hall2016,33,Seton Hall,Big East,25-9,4.7,6.2,11,2016,Isaiah Whitehead,14,Isaiah Whitehead,SG,76,195,Isaiah Whitehead
314,265,2017,2,40,SG,Florida State,Dwayne Bacon,SO,2016-17,G,Florida State,ACC,35,28.8,6.3,14,4.7,9.1,1.6,4.9,3,3.9,1,3.2,4.2,1.7,1,0.1,2,1.6,17.2,Florida State2017,24,Florida State,ACC,26-9,7.6,6.3,13.9,2017,Dwayne Bacon,14,Dwayne Bacon,SG,78,209,Dwayne Bacon
1,163,2011,1,9,PG,Connecticut,Kemba Walker,JR,2010-11,G,Connecticut,Big East,41,37.6,7.7,18,5.9,12.5,1.8,5.5,6.3,7.7,1.3,4.1,5.4,4.5,1.9,0.2,2.3,1.4,23.5,Connecticut2011,25,Connecticut,Big East,32-9,6.8,5,11.8,2011,,14,,,74,175,Kemba Walker
46,174,2012,1,22,C,Syracuse,Fab Melo,SO,2011-12,C,Syracuse,ACC,30,25.4,3.3,5.8,3.3,5.8,0,0,1.3,2,2.7,3.2,5.8,0.7,0.5,2.9,1.4,2.8,7.8,Syracuse2012,3,Syracuse,Big East,34-3,9.9,8.4,18.3,2012,,14,,,84,274,Fab Melo
149,296,2014,1,9,PF,Indiana,Noah Vonleh,FR,2013-14,F,Indiana,Big Ten,30,26.5,3.8,7.2,3.2,6.1,0.5,1.1,3.2,4.5,2.4,6.6,9,0.6,0.9,1.4,2.1,2.7,11.3,Indiana2014,62,Indiana,Big Ten,17-15,4.1,3.2,7.4,2014,Noah Vonleh,13,Noah Vonleh,PF,80,220,Noah Vonleh
189,60,2015,1,2,PG,Ohio State,D'Angelo Russell,FR,2014-15,G,Ohio State,Big Ten,35,33.9,6.6,14.7,3.9,8.1,2.7,6.6,3.4,4.5,1,4.7,5.7,5,1.6,0.3,2.9,2.1,19.3,Ohio State2015,9,Ohio State,Big Ten,24-11,9.7,6.6,16.3,2015,Dangelo Russell,13,Dangelo Russell,SG,76,180,D'Angelo Russell
295,184,2017,1,18,PF,UCLA,T. J. Leaf,FR,2016-17,F,UCLA,Pac-12,35,29.9,6.7,10.9,5.9,9.2,0.8,1.7,2.1,3,2.2,6,8.2,2.4,0.6,1.1,1.5,2.5,16.3,UCLA2017,12,UCLA,Pac-12,31-5,14.4,2.4,16.8,2017,,13,,,81,215,T. J. Leaf
141,80,2013,2,58,SF,Ohio State,Deshaun Thomas,JR,2012-13,F,Ohio State,Big Ten,37,35.4,7,15.8,5.1,10.1,1.9,5.6,3.8,4.6,1.7,4.2,5.9,1.3,0.5,0.3,1.4,1.5,19.8,Ohio State2013,9,Ohio State,Big Ten,29-8,7.5,8.5,15.9,2013,Deshaun Thomas,12,Deshaun Thomas,SF,79,221,Deshaun Thomas
213,167,2015,1,30,PF,UCLA,Kevon Looney,FR,2014-15,F,UCLA,Pac-12,36,30.9,4.2,8.9,3.6,7.4,0.6,1.5,2.6,4.1,3.4,5.8,9.2,1.4,1.3,0.9,1.3,2.9,11.6,UCLA2015,91,UCLA,Pac-12,22-14,5.8,-1,4.8,2015,Kevon Looney,12,Kevon Looney,PF,80,200,Kevon Looney
263,223,2016,2,41,PF/C,UNLV,Stephen Zimmerman,FR,2015-16,C,UNLV,MWC,26,26.2,3.9,8.2,3.7,7.6,0.2,0.7,2.4,3.9,2.2,6.6,8.7,0.8,0.5,2,2.1,3,10.5,UNLV2016,95,UNLV,MW,18-15,5.5,-0.7,4.8,2016,Stephen Zimmerman,12,Stephen Zimmerman,C,84,230,Stephen Zimmerman
283,264,2017,1,6,SF/PF,Florida State,Jonathan Isaac,FR,2016-17,F,Florida State,ACC,32,26.2,4.1,8,3.1,5.2,1,2.8,2.9,3.7,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12,Florida State2017,24,Florida State,ACC,26-9,7.6,6.3,13.9,2017,Jonathan Isaac,12,Jonathan Isaac,SF,82,185,Jonathan Isaac
157,94,2014,1,19,SG,Michigan State,Gary Harris,SO,2013-14,G,Michigan State,Big Ten,35,32.3,5.6,13,3.3,6.4,2.3,6.6,3.3,4.1,1.1,2.9,4,2.7,1.8,0.4,1.7,2.1,16.7,Michigan State2014,11,Michigan State,Big Ten,29-9,8.5,6.9,15.4,2014,Gary Harris,11,Gary Harris,SG,76,195,Gary Harris
