Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1021,Brett Olson\brett-olson-2,JR,2013-14,G,Denver,Summit,31,1141,36.8,4.6,9.7,2.5,4.7,2.2,5,3,3.3,0.3,3.1,3.4,3.5,1.1,0.1,2,2.8,14.5
1022,Robert Olson\robert-olson-1,SR,2012-13,G,Loyola (MD),MAAC,35,1141,32.6,4.5,11.8,2.5,5.3,2.1,6.5,1.5,2.1,1.2,3.3,4.4,2.1,1.1,0.2,1.6,2.7,12.7
1023,Justin Robinson\justin-robinson-1,SR,2010-11,G,Rider,MAAC,34,1141,33.6,4.8,11.4,2.2,5.3,2.6,6.1,2.9,3.2,0.4,2.5,2.9,3.8,1,0.1,2.6,2,15.2
1024,Fred VanVleet\fred-van-vleet-1,SO,2013-14,G,Wichita State,MVC,36,1141,31.7,3.7,7.7,2.7,5.2,1.1,2.5,3.1,3.8,0.7,3.1,3.9,5.4,1.9,0.1,1.3,1.9,11.6
1025,Derrick Williams\derrick-williams-2,SO,2010-11,F,Arizona,Pac-10,38,1141,30,5.9,10,4.8,8.1,1.1,1.9,6.5,8.7,2.8,5.5,8.3,1.1,1,0.7,2.6,2.8,19.5
1026,Jordan Aaron\jordan-aaron-1,JR,2012-13,G,Milwaukee,Horizon,32,1140,35.6,4.7,12.6,2.6,6.6,2.1,6.1,3,3.4,0.5,3.1,3.6,4,1.3,0,3.8,2.7,14.4
1027,Frankie Dobbs\frankie-dobbs-2,JR,2011-12,G,Bryant,NEC,30,1140,38,3.6,10.4,1.3,3.4,2.3,7,3.7,4.6,0.6,2.9,3.5,4.6,0.9,0.1,2.7,2.2,13.3
1028,Branden Frazier\branden-frazier-1,SR,2013-14,G,Fordham,A-10,31,1140,36.8,6,15.1,4.5,10,1.5,5.1,4.8,5.6,1.5,3.5,5.1,4.3,1.1,0.3,3,2.3,18.2
1029,Cezar Guerrero\cezar-guerrero-1,SO,2013-14,G,Fresno State,MWC,39,1140,29.2,4.2,10.2,2.4,4.9,1.8,5.3,2.9,3.3,0.4,2.9,3.3,3.5,1.3,0.1,2.1,2.4,13.1
1030,Dario Hunt\dario-hunt-1,SR,2011-12,F,Nevada,WAC,35,1140,32.6,4.1,8.2,4.1,8.2,0,0,2.1,4.5,3.7,5.9,9.7,1.6,0.9,2.4,2.7,2.8,10.3
1031,Jeremy Lamb\jeremy-lamb-1,FR,2010-11,G,Connecticut,Big East,41,1140,27.8,4.4,9.1,3.3,6.1,1.1,3,1.1,1.4,1.2,3.2,4.5,1.6,0.9,0.6,1.3,1.6,11.1
1032,Hernst Laroche\hernst-laroche-1,JR,2010-11,G,New Mexico State,WAC,33,1140,34.5,4,9.3,3.1,6.5,0.9,2.8,2.5,3.6,0.7,2.5,3.2,4.6,1.9,0.1,2.7,2.5,11.5
1033,Zach Lofton\zach-lofton-1,JR,2016-17,G,Texas Southern,SWAC,35,1140,32.6,5.3,12.6,4.3,8.9,0.9,3.7,5.3,6.7,0.9,3,3.9,2.5,1.3,0.3,2.3,2.8,16.8
1034,Lauri Markkanen\lauri-markkanen-1,FR,2016-17,F,Arizona,Pac-12,37,1140,30.8,5,10.2,3.1,5.8,1.9,4.4,3.7,4.4,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2,15.6
1035,Stuckey Mosley\stuckey-mosley-1,JR,2017-18,G,James Madison,CAA,32,1140,35.6,6.2,15.1,3.6,7.8,2.7,7.2,3.3,4,0.8,3.7,4.5,2.1,1.4,0.2,2,2.5,18.4
1036,Tyler Roberson\tyler-roberson-1,JR,2015-16,F,Syracuse,ACC,37,1140,30.8,3.6,6.9,3.6,6.8,0,0.1,1.6,2.8,4.1,4.4,8.5,1.4,0.8,0.6,1.5,2.3,8.8
1037,Keith Appling\keith-appling-1,SO,2011-12,G,Michigan State,Big Ten,37,1139,30.8,3.5,8.3,2.9,5.7,0.6,2.6,3.6,4.6,0.5,2.4,2.9,3.9,1.2,0.4,2.3,2.4,11.4
1038,Drew Brandon\drew-brandon-1,SR,2014-15,G,Eastern Washington,Big Sky,34,1139,33.5,3.3,8,2.7,5.4,0.6,2.6,2.4,2.9,2,5,6.9,4.7,1.8,0.3,1.8,2.3,9.7
1039,Daniel Dingle\daniel-dingle-1,SR,2016-17,G,Temple,AAC,32,1139,35.6,4,10,2.3,5.4,1.8,4.6,2.8,3.8,1.2,3.3,4.5,3.5,1,0.6,2.5,2.2,12.6
1040,Amanze Egekeze\amanze-egekeze-1,SR,2017-18,F,Belmont,OVC,33,1139,34.5,5.6,11.1,2.7,4.2,2.9,6.8,2.7,3.4,1.2,5,6.2,0.9,0.6,0.2,1.3,1.8,16.8
1041,Shannon Evans\shannon-evans-1,SO,2014-15,G,Buffalo,MAC,33,1139,34.5,4.9,12,2.9,6.7,2,5.2,3.5,4.4,0.5,2.7,3.2,4.6,1.7,0.3,2.5,2.1,15.4
1042,Joe Harris\joe-harris--1,JR,2012-13,G,Virginia,ACC,35,1139,32.5,5.5,11.7,3.3,6.5,2.2,5.2,3.2,4.3,0.9,3.2,4,2.2,0.9,0.5,2,2.3,16.3
1043,Jon Leuer\jon-leuer-1,SR,2010-11,F,Wisconsin,Big Ten,34,1139,33.5,6.7,14.2,5.1,9.9,1.6,4.3,3.3,3.9,1.7,5.6,7.2,1.6,0.5,0.9,1.6,2.2,18.3
1044,Devareaux Manley\devareaux-manley-1,SR,2014-15,G,Kent State,MAC,35,1139,32.5,4.1,10.3,0.9,2.1,3.3,8.2,2.1,2.7,0.4,2.4,2.8,0.8,0.6,0.2,1.1,1.8,13.5
1045,Dallas Moore\dallas-moore-1,SO,2014-15,G,North Florida,A-Sun,35,1139,32.5,6,12.5,4.3,8.1,1.7,4.5,2,2.8,0.9,2.2,3.2,3.7,1,0,2.3,1.2,15.8
1046,Xavier Munford\xavier-munford-1,SR,2013-14,G,Rhode Island,A-10,32,1139,35.6,5.8,14.3,3.8,8.4,1.9,5.9,3.5,4.9,0.6,3.4,4,2.4,1.1,0.4,2.8,2,16.9
1047,Kevin Murphy\kevin-murphy-1,SR,2011-12,G,Tennessee Tech,OVC,33,1139,34.5,7.2,16.3,4.8,10.5,2.4,5.8,3.8,5.2,0.9,4.3,5.2,2.3,0.8,0.2,3.3,2.2,20.6
1048,Dejounte Murray\dejounte-murray-1,FR,2015-16,G,Washington,Pac-12,34,1139,33.5,5.9,14.3,4.9,10.8,1,3.5,3.2,4.9,1.4,4.6,6,4.4,1.8,0.3,3.2,2.6,16.1
1049,Keiton Page\keiton-page-1,SR,2011-12,G,Oklahoma State,Big 12,32,1139,35.6,5.1,12.3,1.9,4,3.2,8.3,3.6,4.2,0.1,1.7,1.8,2.2,1.5,0,1.6,2.4,17.1
1050,Matt Scott\matt-scott-1,JR,2016-17,G,Niagara,MAAC,33,1139,34.5,5.7,13,3.7,7.8,2,5.2,3.7,5.2,1.7,5.3,7,3,1.4,0.4,2.6,2.4,17
1051,Caleb Swanigan\caleb-swanigan-1,SO,2016-17,F,Purdue,Big Ten,35,1139,32.5,6.3,12,5.3,9.6,1.1,2.4,4.7,6,2.7,9.7,12.5,3.1,0.4,0.8,3.4,2.8,18.5
1052,Sam Thompson\sam-thompson-1,SR,2014-15,F,Ohio State,Big Ten,35,1139,32.5,3.9,8.3,3.2,5.9,0.6,2.4,1.9,2.7,0.9,2.9,3.9,1.8,1.3,0.9,1.3,2,10.2
1053,Marcus Thornton\marcus-thornton-3,JR,2013-14,G,William & Mary,CAA,32,1139,35.6,6.1,14,3.2,6.8,2.9,7.2,3.6,4.7,0.2,2.1,2.3,2.8,1.1,0.2,2.4,1.8,18.7
1054,Elston Turner\elston-turner-2,SR,2012-13,G,Texas A&M,SEC,32,1139,35.6,6.2,14.6,3.9,8.2,2.3,6.4,2.8,3.3,0.4,2.6,3,2.3,1,0.2,1.8,1.2,17.5
1055,Jordan Dykstra\jordan-dykstra-1,JR,2012-13,F,South Dakota State,Summit,35,1138,32.5,4.4,9.8,2.8,6.1,1.6,3.7,2.1,2.7,1.9,6,7.9,1.4,0.5,0.5,1.9,2.7,12.5
1056,Jacob Evans\jacob-evans-1,SO,2016-17,G,Cincinnati,AAC,36,1138,31.6,4.7,9.9,2.8,5.3,1.9,4.6,2.3,3.1,1.5,2.7,4.2,2.7,1.3,0.8,1.3,2.1,13.5
1057,Doug McDermott\doug-mcdermott-1,JR,2012-13,F,Creighton,MVC,36,1138,31.6,7.9,14.4,5.8,10,2.1,4.4,5.3,6,1.6,6.1,7.7,1.6,0.2,0.1,2.6,1.6,23.2
1058,Shane McLaughlin\shane-mclaughlin-1,JR,2014-15,G,Bryant,NEC,31,1138,36.7,2.7,6.7,2.1,5,0.5,1.7,1.5,2.4,0.5,3.3,3.8,4.8,0.9,0,2.7,2,7.5
1059,Erick Neal\erick-neal-1,SR,2017-18,G,Texas-Arlington,Sun Belt,33,1138,34.5,5.7,13.1,2.9,5.8,2.8,7.3,2.5,3.3,0.7,3.5,4.2,6.7,2,0.1,3.7,2.4,16.7
1060,Trey Sumler\trey-sumler-1,SR,2013-14,G,Western Carolina,Southern,32,1138,35.6,5.5,13.2,3.6,7.9,1.9,5.3,4.4,5.5,1,3,4,4.3,1.1,0,2.3,2.3,17.4
1061,Drew Valentine\drew-valentine-1,SR,2012-13,F,Oakland,Summit,33,1138,34.5,3.7,7.2,3.2,5.4,0.5,1.8,2.3,3.6,2.2,4.3,6.5,2.2,1.7,0.1,2.2,2.8,10.2
1062,Jalen Adams\jalen-adams-2,SO,2016-17,G,Connecticut,AAC,32,1137,35.5,5.4,12.6,4.3,9.4,1.1,3.2,2.4,2.9,0.7,3.5,4.3,6.1,1.1,0.2,3.1,2.1,14.4
1063,Justin Bibbs\justin-bibbs-1,SO,2015-16,G,Virginia Tech,ACC,35,1137,32.5,4.2,8.9,2,4.1,2.2,4.8,1.2,1.7,0.4,3,3.3,1,0.4,0,1.1,1.5,11.7
1064,T.J. Cline\tj-cline-1,SR,2016-17,F,Richmond,A-10,35,1137,32.5,6.9,13.4,5.6,9.1,1.4,4.3,3.3,4.7,0.9,6.9,7.8,5.6,0.9,0.2,2.9,2.5,18.5
1065,Jordan Fouse\jordan-fouse-1,SR,2015-16,G,Green Bay,Horizon,36,1137,31.6,4.4,10.6,3.2,6.9,1.1,3.7,2.8,3.8,2,6.3,8.3,3.3,2.1,1.4,2.2,3,12.7
1066,Demetri McCamey\demetri-mccamey-1,SR,2010-11,G,Illinois,Big Ten,34,1137,33.4,4.9,10.8,2.7,6,2.2,4.8,2.7,3.7,0.5,2.9,3.4,6.1,1,0.2,2.9,2,14.6
1067,Silas Melson\silas-melson-1,SR,2017-18,G,Gonzaga,WCC,37,1137,30.7,3.2,7.8,1.5,3.4,1.6,4.4,1.2,1.5,0.4,2.6,3.1,2.2,1.1,0.1,1,2.4,9.3
1068,Erick Neal\erick-neal-1,JR,2016-17,G,Texas-Arlington,Sun Belt,36,1137,31.6,3.6,9,1.7,3.7,1.9,5.3,1.6,2.3,0.6,2.9,3.5,6.6,1.7,0.1,3.5,2.4,10.6
1069,Cleon Roberts\cleon-roberts-1,JR,2015-16,G,La Salle,A-10,31,1137,36.7,4.1,10.6,2,4.7,2.1,5.8,2.6,3.4,1.4,2.2,3.6,1.2,1.9,0.4,1.8,2.8,12.9
1070,Jared Terrell\jared-terrell-1,SO,2015-16,G,Rhode Island,A-10,32,1137,35.5,4.6,11.7,3.3,8,1.3,3.7,3.1,4.1,0.4,3,3.4,2.6,1.2,0.3,1.9,2.5,13.6
1071,Felix Von Hofe\felix-van-hofe-1,SR,2016-17,F,Eastern Washington,Big Sky,34,1137,33.4,3.6,9.2,0.7,1.9,2.8,7.4,1.2,1.6,0.2,2.9,3.1,0.9,0.6,0.4,0.8,2.1,11.2
1072,Jay Wright\jay-wright-2,SR,2016-17,G,Louisiana,Sun Belt,33,1137,34.5,5.5,12.2,3.9,7.7,1.5,4.5,3.7,5.2,0.6,1.9,2.5,3.9,2,0.3,2.4,2.1,16.2
1073,Manny Atkins\manny-atkins-1,SR,2013-14,F,Georgia State,Sun Belt,34,1136,33.4,4.5,9.5,2.3,4.4,2.2,5.1,3.2,3.9,0.9,5.2,6.1,1.4,1.4,0.7,1.3,2.3,14.4
1074,Keith Braxton\keith-braxton-1,FR,2016-17,G,Saint Francis (PA),NEC,34,1136,33.4,4.8,9.1,4.1,7.4,0.7,1.7,2.7,3.5,2,6.6,8.6,3.1,1.4,0.4,2.5,2,13.1
1075,Kyle Collinsworth\kyle-collinsworth-1,SO,2013-14,G,Brigham Young,WCC,34,1136,33.4,5.1,10.4,4.9,9.7,0.2,0.6,3.4,6,2.5,5.6,8.1,4.6,1.7,0.4,2.6,2.4,14
1076,Johnny Dee\johnny-dee-2,JR,2013-14,G,San Diego,WCC,35,1136,32.5,5.3,12.1,2.6,5.7,2.7,6.4,3.4,3.6,0.3,2.5,2.8,1.4,1.1,0,1.3,1.6,16.6
1077,Quinton Hooker\quinton-hooker-1,JR,2015-16,G,North Dakota,Big Sky,32,1136,35.5,6.6,13.5,5,9.4,1.6,4.2,5.3,6.2,1.2,3.7,4.9,3.5,1.9,0.3,1.8,2.3,20.1
1078,Ryan Kemrite\ryan-kemrite-1,SR,2017-18,G,Liberty,Big South,35,1136,32.5,3.3,7.4,0.9,2.1,2.4,5.3,1.2,1.3,0.5,2.2,2.7,0.9,0.6,0.1,0.7,1.8,10.2
1079,Jordan Loveridge\jordan-loveridge-1,SO,2013-14,F,Utah,Pac-12,33,1136,34.4,4.9,11.8,3.6,7.4,1.3,4.4,3.5,4.3,1.4,5.6,7,2.3,0.8,0.5,2,1.8,14.7
1080,Kalin Lucas\kalin-lucas-1,SR,2010-11,G,Michigan State,Big Ten,34,1136,33.4,5.7,13.3,4.1,9.3,1.6,4,4,4.9,0.5,1.7,2.1,3.4,1,0.1,2.6,2.1,17
1081,Sa'eed Nelson\saeed-nelson-1,FR,2016-17,G,American,Patriot,30,1136,37.9,5.5,12.4,4.8,9.5,0.6,2.9,3.3,5.9,0.7,3.8,4.4,2.7,2.4,0.1,2.9,2.7,14.9
1082,Jalen Nesbitt\jalen-nesbitt-1,SR,2014-15,G,North Florida,A-Sun,35,1136,32.5,3.1,6.5,2.2,4.2,0.8,2.2,3.9,5.4,1.6,4.1,5.7,3.4,1.7,0.7,2.4,2,10.9
1083,Kendrick Nunn\kendrick-nunn-1,SR,2017-18,G,Oakland,Horizon,30,1136,37.9,8.7,20.1,4.3,8.7,4.5,11.3,4,4.7,0.9,3.8,4.7,3.8,1.5,0.4,2.9,2.2,25.9
1084,Ralston Turner\ralston-turner-1,SR,2014-15,G,North Carolina State,ACC,36,1136,31.6,4.2,10.6,1.6,3.5,2.6,7.1,1.9,2.2,0.6,2.6,3.3,1,0.6,0.2,1,2.4,12.8
1085,Paul Watson\paul-watson-1,FR,2013-14,G,Fresno State,MWC,39,1136,29.1,3.4,7.6,1.9,3.8,1.4,3.7,1.8,2.5,1,3.4,4.4,0.7,0.7,0.8,1.3,2.9,10
1086,Khalif Wyatt\khalif-wyatt-1,SR,2012-13,G,Temple,A-10,34,1136,33.4,6.1,14.7,3.9,7.8,2.2,7,6,7.2,0.4,2.5,2.9,4,1.7,0.2,3.1,2.2,20.5
1087,Trelun Banks\trelun-banks-1,SR,2016-17,G,Southern,SWAC,33,1135,34.4,3.4,10.5,2.2,6.4,1.2,4.1,3,4,0.5,2.8,3.2,5,1.2,0,3.2,1.8,10.9
1088,Angelo Caloiaro\angelo-caloiaro-1,JR,2010-11,F,San Francisco,WCC,34,1135,33.4,3.1,7.7,1.4,2.7,1.6,5,2.2,2.8,1,6.3,7.3,1.9,0.8,0.3,1.5,2.6,9.9
1089,Siyani Chambers\siyani-chambers-1,FR,2012-13,G,Harvard,Ivy,30,1135,37.8,3.7,8.6,2.3,5.3,1.4,3.3,3.5,4.3,0.4,2.2,2.6,5.7,1.5,0,3.4,1.6,12.4
1090,Allerik Freeman\allerik-freeman-2,,2017-18,G,North Carolina State,ACC,33,1135,34.4,5,12.9,2.8,7.4,2.1,5.5,4,5.2,0.6,3.5,4.2,2.6,1.2,0,2.5,1.7,16.1
1091,Brandon Goodwin\brandon-goodwin-1,SR,2017-18,G,Florida Gulf Coast,A-Sun,34,1135,33.4,6.6,13.9,5.3,9.4,1.2,4.5,4.2,5.6,1.1,4.4,5.5,4.8,1.4,0.1,2.9,1.6,18.6
1092,Khallid Hart\khallid-hart-1,SR,2016-17,G,Marist,MAAC,32,1135,35.5,5.8,12.7,3.8,7.3,2,5.4,4.3,5.4,0.3,2.3,2.7,2.3,1.1,0.3,1.6,2.1,17.9
1093,Buddy Hield\buddy-hield-1,JR,2014-15,G,Oklahoma,Big 12,35,1135,32.4,5.9,14.2,3.2,6.8,2.7,7.4,3.1,3.7,1.6,3.8,5.4,1.9,1.3,0.2,1.9,1.7,17.4
1094,Justin Jackson\justin-jackson-4,SO,2015-16,F,North Carolina,ACC,40,1135,28.4,5.1,10.7,4.1,7.6,0.9,3.1,1.7,2.6,1.8,2.1,3.9,2.8,0.6,0.4,1.1,1.7,12.7
1095,Walt Lemon\walt-lemon--1,SR,2013-14,G,Bradley,MVC,32,1135,35.5,6.6,15.5,5.7,12.3,0.9,3.1,3.9,5.3,0.3,2.8,3.1,3.9,2.4,0.1,3.6,2.4,18
1096,C.J. Leslie\cj-leslie-1,JR,2012-13,F,North Carolina State,ACC,35,1135,32.4,5.5,10.6,5.4,10.4,0.1,0.2,4.1,6.6,1.9,5.5,7.4,1.5,1,1.2,3,2.5,15.1
1097,Steve McNees\steve-mcnees-1,SR,2010-11,G,Akron,MAC,36,1135,31.5,2.6,7.8,0.8,1.9,1.9,5.9,1.5,2.2,0.2,2.4,2.6,2.8,0.8,0.1,1.2,1.8,8.6
1098,Kassius Robertson\kassius-robertson-1,JR,2016-17,G,Canisius,MAAC,34,1135,33.4,5.2,11.7,2.4,4.7,2.9,7,2.8,3.4,0.9,2.3,3.1,2.4,0.9,0.1,1.6,1.5,16.1
1099,Nasir Robinson\nasir-robinson-1,SR,2011-12,F,Pittsburgh,Big East,39,1135,29.1,4.6,8.4,4.6,8.1,0.1,0.3,1.3,2.8,2.8,3.7,6.5,2,0.6,0.2,2.1,2.7,10.6
1100,Aaron Thomas\aaron-thomas-3,SO,2013-14,G,Florida State,ACC,36,1135,31.5,4.8,10.5,3.7,7.6,1.1,2.9,3.9,4.8,1,3.2,4.2,1.8,1.6,0.3,2.4,2.4,14.5
1101,Anthony Thompson\anthony-thompson-2,JR,2015-16,G,Holy Cross,Patriot,35,1135,32.4,2,7.2,0.7,2.4,1.2,4.8,1.9,2.4,0.4,2.1,2.5,2.5,1.1,0,1,2,7.1
1102,Justise Winslow\justise-winslow-1,FR,2014-15,F,Duke,ACC,39,1135,29.1,4.4,9.1,3.3,6.3,1.2,2.8,2.6,4,1.3,5.2,6.5,2.1,1.3,0.9,1.8,2.8,12.6
1103,Lawrence Alexander\lawrence-alexander-1,JR,2013-14,G,North Dakota State,Summit,33,1134,34.4,3.6,8.4,2.4,5.3,1.2,3.1,2.5,2.9,0.6,3.7,4.3,2.6,0.9,0.2,2.1,2,11.1
1104,Devon Beitzel\devon-beitzel-1,SR,2010-11,G,Northern Colorado,Big Sky,32,1134,35.4,6.3,13.2,3.6,6.3,2.7,6.9,6.2,6.8,0.3,2.9,3.3,1.8,1.4,0,2.4,1.8,21.5
1105,Bryce Canda\bryce-canda-1,SR,2017-18,G,Portland State,Big Sky,33,1134,34.4,5.2,12.9,2.9,5.8,2.3,7,1.3,2,1.4,4.6,6,2.5,1.7,0.2,1.5,1,14
1106,Sam Dekker\sam-dekker-1,SO,2013-14,F,Wisconsin,Big Ten,38,1134,29.8,4.4,9.4,3.3,6,1.1,3.4,2.5,3.6,1.7,4.4,6.1,1.4,0.8,0.6,1.1,1.4,12.4
1107,Jerome Garrison\jerome-garrison-1,JR,2013-14,G,Grand Canyon,WAC,30,1134,37.8,4.3,10.2,2.5,5.9,1.7,4.3,6.2,7.9,0.6,2.2,2.8,2.1,0.5,0.3,2,2.5,16.5
1108,Marshall Henderson\marshall-henderson-1,JR,2012-13,G,Mississippi,SEC,36,1134,31.5,5.8,15.3,2,4.3,3.8,10.9,4.6,5.2,0.5,2.6,3.1,1.8,1.3,0.1,2.1,1.6,20.1
1109,Solomon Hill\solomon-hill-1,JR,2011-12,F,Arizona,Pac-12,35,1134,32.4,4.3,8.6,3.3,5.9,1.1,2.7,3.2,4.5,2.2,5.6,7.7,2.6,1,0.5,2.5,2.6,12.9
1110,Kris Jenkins\kris-jenkins-1,JR,2015-16,F,Villanova,Big East,40,1134,28.4,4.5,9.8,2,3.3,2.5,6.5,2.2,2.6,0.5,3.4,3.9,2.2,0.8,0.4,1.3,2.6,13.6
1111,Jordan Johnson\jordan-johnson-1,JR,2015-16,G,Milwaukee,Horizon,33,1134,34.4,3.6,8.2,2.8,5.7,0.8,2.5,4.9,6.2,0.6,3,3.6,8.1,0.9,0,2.8,1.9,13
1112,Melvin Johnson\melvin-johnson-2,SR,2015-16,G,Virginia Commonwealth,A-10,36,1134,31.5,6.2,14.9,3.1,6.8,3.1,8,1.9,2.4,0.6,2.1,2.7,2.2,1.3,0.1,1.5,1.3,17.4
1113,Zach Johnson\zach-johnson-2,JR,2017-18,G,Florida Gulf Coast,A-Sun,35,1134,32.4,5.8,12.4,3.8,7.3,2,5,2.5,3.3,0.4,2.9,3.3,3,2,0.1,2.3,2.1,16.1
1114,Martaveous McKnight\martaveous-mcknight-1,JR,2017-18,G,Arkansas-Pine Bluff,SWAC,35,1134,32.4,6.2,13.7,4.4,8.5,1.8,5.2,4.3,6,0.5,3.8,4.3,3.5,1.9,0.1,2.6,0.9,18.6
1115,Shane McLaughlin\shane-mclaughlin-1,SR,2015-16,G,Bryant,NEC,31,1134,36.6,2.8,6.9,2,4.6,0.8,2.3,1.4,2.4,0.3,3.1,3.4,5.3,0.9,0,3.1,2.1,7.7
1116,Wayne Selden\wayne-selden-1,JR,2015-16,G,Kansas,Big 12,38,1134,29.8,5,10.5,3,5.5,1.9,5,1.9,3.1,0.8,2.7,3.4,2.6,0.7,0.3,1.9,2,13.8
1117,Amar Stukes\amar-stukes-1,SR,2017-18,G,La Salle,A-10,32,1134,35.4,2.9,6.4,2.2,4.7,0.7,1.7,1.9,2.2,0.7,1.8,2.5,3.1,1.2,0.1,1.5,2.6,8.5
1118,Reed Timmer\reed-timmer-1,SR,2017-18,G,Drake,MVC,34,1134,33.4,5.5,12.4,2.8,5.8,2.7,6.6,5.4,6.2,0.5,3,3.6,2.3,0.6,0.1,1.9,1.7,19.2
1119,Marquis Wright\marquis-wright-2,SO,2014-15,G,Siena,MAAC,31,1134,36.6,4.5,10.4,4,8.9,0.4,1.5,3.1,4.6,1.6,2.6,4.2,5.1,2,0.4,2.5,2.6,12.5
1120,Keith Benson\keith-benson-1,SR,2010-11,C,Oakland,Summit,35,1133,32.4,6.6,12.1,6.3,11.4,0.3,0.7,4.5,7,2.7,7.5,10.1,1.1,0.8,3.6,1.9,3.1,17.9
1121,Jaron Blossomgame\jaron-blossomgame-1,SR,2016-17,F,Clemson,ACC,33,1133,34.3,6.7,13.4,5.9,10.5,0.7,2.8,3.6,5.1,1.8,4.5,6.3,1.5,0.8,0.9,1.7,1.6,17.7
1122,Earl Brown\earl-brown-3,SR,2014-15,F,Saint Francis (PA),NEC,32,1133,35.4,5.9,10.9,5.3,9.3,0.5,1.6,3.6,5.3,2.3,5.7,8,1.9,1.1,1,3.3,1.8,15.9
1123,Anthony Downing\anthony-downing-1,SR,2012-13,G,Missouri State,MVC,33,1133,34.3,4.5,11.4,3.5,7.2,1.1,4.1,3.6,4.5,1,3.4,4.4,2.7,1.1,0.1,1.7,2.1,13.7
1124,Ramon Galloway\ramon-galloway-1,SR,2012-13,G,La Salle,A-10,34,1133,33.3,5.7,13.6,2.9,6.9,2.8,6.7,3.1,3.7,0.7,3.9,4.6,3.7,1.9,0.5,3.1,2.4,17.2
1125,A.J. Jacobson\aj-jacobson-1,SO,2015-16,G,North Dakota State,Summit,33,1133,34.3,4.2,9.6,2.6,5,1.6,4.5,2.8,3.6,0.5,3.4,3.9,1.5,0.5,0.4,1.2,2.6,12.7
1126,Myles Mack\myles-mack-1,SR,2014-15,G,Rutgers,Big Ten,32,1133,35.4,4.4,11.4,2.5,5.6,1.9,5.8,2.8,3.3,0.7,3.3,4,4.2,1.8,0.1,2.4,1.5,13.4
1127,Doug McDermott\doug-mcdermott-1,FR,2010-11,F,Creighton,MVC,39,1133,29.1,5.6,10.7,4.4,7.8,1.2,3,2.4,3.2,2.1,5.1,7.2,1.2,0.3,0.1,2.2,2.1,14.9
1128,D.J. Newbill\dj-newbill-1,SO,2012-13,G,Penn State,Big Ten,31,1133,36.5,5.6,13.9,5,11.5,0.6,2.4,4.3,6.3,1.5,3.5,5,4,1.2,0.3,3.9,2.9,16.3
1129,Eric Paschall\eric-paschall-1,JR,2017-18,F,Villanova,Big East,38,1133,29.8,3.8,7.1,2.8,4.4,0.9,2.7,2.1,2.5,1.8,3.4,5.3,2.2,0.9,0.6,1.7,2.4,10.6
1130,Gabe York\gabe-york-1,SR,2015-16,G,Arizona,Pac-12,34,1133,33.3,5.2,12.3,2.3,5.5,2.9,6.9,1.7,2.3,0.6,2.6,3.2,2.2,0.9,0.3,2.1,2.1,15
1131,Trae Young\trae-young-1,FR,2017-18,G,Oklahoma,Big 12,32,1133,35.4,8.2,19.3,4.5,9.1,3.7,10.3,7.4,8.6,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4
1132,Trelun Banks\trelun-banks-1,JR,2015-16,G,Southern,SWAC,33,1132,34.3,4.1,11.2,2.5,6.6,1.7,4.6,2.5,3.9,0.7,2.1,2.8,2.2,1,0,2.4,2.3,12.4
1133,Daniel Dion\daniel-dion-1,SR,2016-17,G,New Hampshire,AEC,32,1132,35.4,4.1,9.7,1.2,2.7,2.9,7,2.4,3,0.3,2.6,2.8,2.4,0.7,0,1.7,1.4,13.6
1134,Nick Emery\nick-emery-1,FR,2015-16,G,Brigham Young,WCC,36,1132,31.4,5.6,13.3,2.9,6.3,2.7,7,2.3,2.7,0.5,3,3.5,2.5,1.4,0.1,1.5,2.8,16.3
1135,Langston Galloway\langston-galloway-1,FR,2010-11,G,Saint Joseph's,A-10,33,1132,34.3,4.1,10.2,2.1,5.2,2,5,2.6,2.9,1.4,4.2,5.5,2.9,1.7,0.5,1.2,2.5,12.8
1136,Randal Holt\randal-holt-1,SR,2012-13,G,Kent State,MAC,35,1132,32.3,4.7,12.4,2.1,5.8,2.5,6.6,2.8,3.3,0.6,2.6,3.2,2.4,1.3,0.1,2.2,1.5,14.7
1137,Jordan Johnson\jordan-johnson-1,SR,2017-18,G,Nevada-Las Vegas,MWC,33,1132,34.3,3.8,8.8,2.3,5,1.5,3.8,4.6,5.5,0.5,2.4,2.8,6,1.2,0.2,2.7,2.3,13.6
1138,MoMo Jones\lamont-jones-1,JR,2011-12,G,Iona,MAAC,33,1132,34.3,6,13,4.4,8.5,1.6,4.5,2.2,2.8,0.8,2.5,3.3,2.9,1.2,0.1,2.2,1.9,15.7
1139,Malcolm McMillan\malcolm-mcmillan-1,SR,2015-16,G,Canisius,MAAC,33,1132,34.3,4,9.5,2.8,5.6,1.2,3.8,5.5,6.6,0.5,2.6,3.1,4.1,0.7,0.5,1.8,2.4,14.7
1140,Patrick Miller\patrick-miller-2,JR,2013-14,G,Tennessee State,OVC,30,1132,37.7,7.7,17.1,6.2,12.8,1.5,4.4,6.9,8.9,1.5,3,4.5,4.1,1.6,0.2,3.3,2.9,23.7
