,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
187,187,D.J. Newbill\dj-newbill-1,SR,2014-15,G,Penn State,Big Ten,34,1261,37.1,7.1,15.9,5.4,11,1.8,4.9,4.6,6.1,1.1,3.6,4.7,3.1,1.3,0.2,2.6,2.1,20.7
2085,2084,Cedric Blossom\cedric-blossom-1,JR,2014-15,F,Morgan State,MEAC,31,1077,34.7,5.2,12.2,5.1,11.9,0.1,0.3,3.8,5.4,3.2,3.8,7.1,0.7,1.1,0.3,1.2,2.4,14.2
2082,2081,Christian Wood\christian-wood-1,SO,2014-15,F,Nevada-Las Vegas,MWC,33,1078,32.7,5.7,11.4,4.9,8.7,0.8,2.7,3.6,4.9,2.8,7.1,10,1.3,0.3,2.7,2.4,2.6,15.7
2225,2224,Aaron White\aaron-white-3,SR,2014-15,F,Iowa,Big Ten,34,1070,31.5,5,9.6,4.4,7.9,0.6,1.7,5.7,7,2.1,5.2,7.3,1.4,1.3,0.5,1.2,1.6,16.4
1775,1774,Keith Shamburger\keith-shamburger-1,SR,2014-15,G,Missouri,SEC,32,1092,34.1,2.5,6.6,1.2,2.5,1.3,4.1,2.4,2.7,0.5,2.8,3.3,3.9,1.2,0.1,1.9,2.1,8.8
456,455,Dyshawn Pierre\dyshawn-pierre-1,JR,2014-15,F,Dayton,A-10,36,1202,33.4,4.6,9.8,3.5,6.9,1,2.9,2.6,3.8,2.1,6,8.1,2.9,0.6,0.4,2,1.8,12.7
1766,1765,Desharick Guidry\desharick-guidry-1,SR,2014-15,F,McNeese State,Southland,31,1092,35.2,6.3,12.9,5.1,9.7,1.2,3.2,3.5,4.9,4.4,6.8,11.2,1.6,1.3,0.6,2.1,2.8,17.3
2221,2220,T.J. Sapp\tj-sapp-1,SR,2014-15,G,Murray State,OVC,35,1070,30.6,4.1,8.9,2.2,3.9,1.9,5,2.3,2.7,0.4,2.8,3.3,2.9,1,0.1,1.9,2.2,12.4
376,375,Jordan Sibert\jordan-sibert-1,SR,2014-15,G,Dayton,A-10,36,1215,33.8,4.9,10.8,2.7,4.4,2.2,6.4,4,5.1,0.2,3.1,3.3,2,1.7,0.1,1.8,2,16.1
1180,1179,Wayne Blackshear\wayne-blackshear-1,SR,2014-15,G,Louisville,ACC,36,1129,31.4,3.7,9.3,2,4.3,1.7,5,2.6,3.3,0.9,3.3,4.3,1.2,1,0.6,1,2.6,11.6
378,377,Dee Davis\dee-davis-1,SR,2014-15,G,Xavier,Big East,37,1214,32.8,3,7.4,2.1,4.5,0.9,2.9,2,2.8,0.3,2.1,2.4,6,1.3,0,2.4,2.4,9
1748,1747,Chris Fowler\chris-fowler-1,JR,2014-15,G,Central Michigan,MAC,32,1093,34.2,5.7,11.3,5.1,9.2,0.6,2.1,4.1,6.1,0.5,2.6,3.1,6.1,1.5,0.2,2.8,2.4,16.2
204,203,Trevor Lacey\trevor-lacey-1,JR,2014-15,G,North Carolina State,ACC,35,1256,35.9,5.4,12.5,3.2,6.8,2.2,5.7,2.7,3.6,0.8,3.8,4.6,3.5,0.9,0.2,1.9,1.6,15.7
2123,2122,Marcus Gilbert\marcus-gilbert-1,JR,2014-15,F,Fairfield,MAAC,31,1075,34.7,5,11.2,3.2,5.7,1.8,5.5,4.6,5.9,1.6,4,5.6,1.2,0.8,0.6,2.2,2.3,16.4
763,762,Robert Brown\robert-brown-4,JR,2014-15,G,Alabama-Birmingham,CUSA,36,1165,32.4,4.9,12.2,3.2,7,1.7,5.2,2.2,3,0.8,2.9,3.7,3,1,0.3,2.1,1.7,13.7
1163,1162,Quinton Upshur\quinton-upshur-1,SR,2014-15,G,Northern Arizona,Big Sky,38,1131,29.8,4.5,11.9,2.4,5.4,2.2,6.5,3.2,4.3,0.5,2.9,3.4,1.2,0.9,1.1,1.3,2.8,14.4
199,199,LaDontae Henton\ladontae-henton-1,SR,2014-15,F,Providence,Big East,34,1257,37,6.8,15.2,4.9,9.6,1.9,5.6,4.3,5.6,1.8,4.8,6.5,0.9,1.4,0.5,2,2.2,19.7
1658,1657,Julius Brown\julius-brown-2,SR,2014-15,G,Toledo,MAC,33,1098,33.3,5.8,12.6,3.8,7.5,2.1,5.2,2.5,3,0.3,1.9,2.2,4.4,0.9,0.3,2.2,1.3,16.3
2114,2113,Bobby Portis\bobby-portis-1,SO,2014-15,F,Arkansas,SEC,36,1076,29.9,6.9,12.9,6.6,12.1,0.4,0.8,3.2,4.3,3.7,5.2,8.9,1.2,1.1,1.4,1.6,2.2,17.5
402,401,Marcus Thornton\marcus-thornton-3,SR,2014-15,G,William & Mary,CAA,33,1210,36.7,6.5,14.3,3.4,6.6,3.1,7.7,3.8,4.6,0.3,2.5,2.8,2.9,0.6,0.1,2.3,1.1,20
190,190,Terry Rozier\terry-rozier-1,SO,2014-15,G,Louisville,ACC,36,1260,35,5.9,14.5,4.6,10.1,1.3,4.4,3.9,4.9,1.2,4.4,5.6,3,2,0.2,2.2,1.7,17.1
1354,1353,Julian Washburn\julian-washburn-1,SR,2014-15,F,Texas-El Paso,CUSA,33,1117,33.8,3.8,9.3,2.6,6.1,1.2,3.2,1.4,1.9,0.9,3.2,4.1,2.6,0.9,0.6,1.3,1.9,10.3
264,263,John Schoof\john-schoof-1,SR,2014-15,G,American,Patriot,33,1239,37.5,4.4,9.4,2.3,4.3,2.1,5.1,1.2,1.7,0.6,2.5,3.2,1.6,0.8,0.3,1.6,2.4,12
22,23,Pat Connaughton\pat-connaughton-1,SR,2014-15,G,Notre Dame,ACC,38,1351,35.6,4.4,9.4,1.9,3.6,2.4,5.8,1.3,1.7,1.1,6.3,7.4,1.5,0.7,0.9,1.2,2,12.5
1485,1484,Corey Walden\corey-walden-2,SR,2014-15,G,Eastern Kentucky,OVC,32,1108,34.6,6.2,11.3,4.6,6.9,1.6,4.4,4.6,5.6,0.8,3.1,4,3.8,3.1,0.2,2.2,2.5,18.6
66,67,Frank Kaminsky\frank-kaminsky-1,SR,2014-15,C,Wisconsin,Big Ten,39,1311,33.6,6.8,12.5,5.8,9.9,1.1,2.6,4,5.1,1.5,6.7,8.2,2.6,0.8,1.5,1.6,1.7,18.8
1541,1540,Jherrod Stiggers\jherrod-stiggers-1,JR,2014-15,G,Houston,AAC,31,1105,35.6,4.5,12.4,1.4,3.4,3.1,9,2.1,2.7,0.5,3.1,3.6,2.5,1.2,0.3,2.9,1.7,14.2
1540,1539,Tim Quarterman\tim-quarterman-1,SO,2014-15,G,Louisiana State,SEC,33,1105,33.5,3.8,8.9,2.6,5,1.2,3.9,2.7,3.8,1.5,3.7,5.2,4,1.4,0.6,2.4,2.5,11.5
896,895,Jeff Short\jeffrey-short-1,JR,2014-15,G,Norfolk State,MEAC,34,1153,33.9,6.2,12.5,4.2,7.4,2,5.1,4.6,5.6,0.7,3.5,4.2,1.9,0.9,0.4,2.8,1.9,19.1
672,671,Dennis Mavin\dennis-mavin-1,SR,2014-15,G,Florida International,CUSA,33,1174,35.6,6,13.7,5.1,10.7,0.9,3,4.3,6.7,0.8,4.5,5.3,3.1,1.2,0,3.6,1.4,17.2
1945,1944,Seth Gearhart\seth-gearhart-1,SR,2014-15,F,Rice,CUSA,32,1084,33.9,4.5,10.1,2.3,4.7,2.2,5.4,4.2,5.1,1.1,4.2,5.3,1.8,1,0.4,2.2,2.8,15.3
1849,1848,Jaqawn Raymond\jaqawn-raymond-1,JR,2014-15,G,Middle Tennessee,CUSA,36,1088,30.2,2.3,6.3,1.1,2.9,1.2,3.4,1.9,2.3,0.3,2.8,3.1,2.1,1,0.2,2.1,2.1,7.6
1941,1940,Anthony Collins\anthony-collins-1,JR,2014-15,G,South Florida,AAC,32,1084,33.9,2.8,6.4,2.6,5.5,0.3,0.9,1.2,1.8,0.3,2.3,2.6,5.2,1.5,0.1,2.4,2.3,7.1
621,620,Scoochie Smith\scoochie-smith-1,SO,2014-15,G,Dayton,A-10,36,1181,32.8,2.9,7.1,1.8,4.1,1.1,3,2.1,2.8,0.3,2.7,3.1,3.8,1.4,0.1,2,2.3,9.2
1601,1600,Quincy Ford\quincy-ford-1,JR,2014-15,F,Northeastern,CAA,35,1101,31.5,3.2,8.1,1.7,3.9,1.6,4.2,2.4,3.1,1.2,4.2,5.4,2.3,1,1.1,2.1,1.8,10.4
1906,1905,Terran Petteway\terran-petteway-1,JR,2014-15,G,Nebraska,Big Ten,31,1086,35,5.9,15,3.7,8,2.2,7,4.1,5.8,0.5,4.4,4.9,2.8,1.1,0.9,3.4,3,18.2
935,934,D'Angelo Harrison\dangelo-harrison-1,SR,2014-15,G,St. John's (NY),Big East,33,1150,34.8,5.4,13,3.4,7.6,2,5.4,4.7,5.9,1.2,4.3,5.5,1.9,1.1,0.4,1.7,3.5,17.5
934,933,Phil Greene\phil-greene-1,SR,2014-15,G,St. John's (NY),Big East,33,1150,34.8,5,11.7,3.1,6.8,1.9,4.9,1.2,1.6,0.5,2.7,3.2,1.6,0.9,0,1.1,0.9,13
737,736,Obi Emegano\obi-emegano-2,JR,2014-15,G,Oral Roberts,Summit,34,1168,34.4,5.7,12.8,4.9,10.6,0.9,2.2,6,7.6,0.8,3.9,4.7,2.2,1.7,0.2,2.6,2.1,18.3
839,838,T.J. McConnell\tj-mcconnell-1,SR,2014-15,G,Arizona,Pac-12,38,1158,30.5,4.1,8.2,3.4,6.2,0.7,2.1,1.5,1.8,0.7,3.2,3.8,6.3,2.2,0.1,2.1,1.8,10.4
635,634,Nic Moore\nic-moore-1,JR,2014-15,G,Southern Methodist,AAC,34,1179,34.7,4.6,10.9,2.3,5.5,2.3,5.4,3.1,3.4,0.2,2.1,2.3,5.1,1.3,0,2.6,1.9,14.5
643,642,Nicholas Paulos\nicholas-paulos-1,SR,2014-15,G,North Carolina-Greensboro,Southern,33,1178,35.7,3.6,8,0.9,1.6,2.8,6.4,0.6,0.8,0.4,3.4,3.8,1.6,0.8,0.3,1.6,1.8,10.6
804,803,Freddie Jackson\freddie-jackson-1,SR,2014-15,G,North Carolina-Wilmington,CAA,32,1161,36.3,5,11.5,3.7,7.5,1.3,4,2,3.1,1.5,4.1,5.6,2.1,1.6,0.4,2.1,1.5,13.3
1903,1902,Matt McMullen\matt-mcmullen-1,SR,2014-15,F,Colgate,Patriot,33,1086,32.9,3.3,6.3,1.8,3.3,1.5,3,1.4,1.7,1.1,5.5,6.5,2.1,1,0.8,1.7,2.5,9.5
71,72,Travis Trice\travis-trice-1,SR,2014-15,G,Michigan State,Big Ten,39,1309,33.6,5,12.6,2.7,6.3,2.3,6.3,3,4.2,0.5,2.7,3.2,5.1,1,0.2,1.8,1.8,15.3
915,914,Tyrone Wallace\tyrone-wallace-1,JR,2014-15,G,University of California,Pac-12,33,1152,34.9,6.3,14.8,5.5,12.2,0.8,2.7,3.6,6,0.9,6.2,7.1,4,1.3,0.3,2.8,2.8,17.1
656,655,Ron Curry\ron-curry-1,JR,2014-15,G,James Madison,CAA,33,1175,35.6,4.3,10.6,2.4,6.1,1.9,4.5,3.5,4.7,0.6,3.3,3.8,4.3,1.1,0.2,2.3,1.8,13.9
912,911,James Robinson\james-robinson-2,JR,2014-15,G,Pittsburgh,ACC,34,1152,33.9,2.8,7.5,1.9,4.8,0.8,2.8,2.5,3,0.5,3.1,3.6,5.1,1.1,0.2,1.6,2.4,8.9
679,678,James Woodard\james-woodard-1,JR,2014-15,G,Tulsa,AAC,34,1174,34.5,4.6,11.4,2.1,4.4,2.6,7,2.6,3.7,0.5,4.4,4.9,1.1,0.9,0.2,1.4,1.6,14.5
28,29,Tylor Ongwae\tylor-ongwae-1,SR,2014-15,F,Louisiana-Monroe,Sun Belt,38,1347,35.4,5.2,12.8,4.6,10.1,0.7,2.7,3.3,4,2.4,4.2,6.6,2.9,1,0.3,2.4,2.2,14.4
46,47,Anthony Brown\anthony-brown-5,SR,2014-15,G,Stanford,Pac-12,37,1320,35.7,4.8,11,2.6,6.2,2.1,4.8,3.1,3.9,1.1,5.8,6.9,2.5,0.8,0.2,1.9,2.1,14.8
45,46,Joseph Young\joseph-young-1,SR,2014-15,G,Oregon,Pac-12,36,1322,36.7,7.4,16.4,4.8,9.4,2.5,7.1,3.4,3.7,0.5,3.9,4.4,3.8,1.1,0,2.4,1.4,20.7
858,857,K.T. Harrell\kt-harrell-1,SR,2014-15,G,Auburn,SEC,35,1156,33,5.5,12.2,2.7,5.8,2.8,6.5,4.6,5.7,0.9,2.1,3,1.5,0.9,0.1,2.5,2.3,18.5
44,45,Tyus Jones\tyus-jones-1,FR,2014-15,G,Duke,ACC,39,1322,33.9,3.5,8.3,2.3,5.1,1.2,3.2,3.7,4.2,0.5,3,3.5,5.6,1.5,0.1,1.9,1.2,11.8
1870,1869,Charlie Jones\charlie-jones-2,FR,2014-15,G,American,Patriot,33,1087,32.9,2.7,5.4,1.9,3.5,0.7,1.9,2,2.5,0.6,3.2,3.7,1.8,0.8,0.5,1.1,1.9,8
700,699,Trey Lewis\trey-lewis-1,JR,2014-15,G,Cleveland State,Horizon,33,1172,35.5,5.6,12.6,2.7,5.8,2.9,6.9,2.6,3.5,0.8,3.6,4.4,2.8,1.2,0.2,2.3,2,16.8
1513,1512,Zaid Hearst\zaid-hearst-1,SR,2014-15,G,Quinnipiac,MAAC,30,1106,36.9,6.6,15.2,5.2,10.4,1.3,4.8,3.8,5,2.3,3.8,6.1,2.5,0.5,0.3,2.2,2.2,18.3
835,834,T.J. Hallice\tj-hallice-1,SR,2014-15,F,Mercer,Southern,35,1158,33.1,3.6,7.3,3.5,6.9,0.1,0.5,1.8,3.1,2.6,3.9,6.5,1.3,0.8,0.7,1,2.1,9.1
1525,1524,J.P. Tokoto\jp-tokoto-1,JR,2014-15,F,North Carolina,ACC,38,1106,29.1,3.1,7.1,2.7,6.3,0.3,0.8,1.9,3.1,1.6,4,5.6,4.3,1.5,0.3,2.2,2.4,8.3
1518,1517,Saah Nimley\saah-nimley-1,SR,2014-15,G,Charleston Southern,Big South,31,1106,35.7,5.9,15.4,2.4,5.5,3.5,9.9,6,7.4,0.5,3.5,4.1,4.1,0.9,0,2.7,2.2,21.4
1951,1950,Fred Miller\fred-miller-1,SR,2014-15,G,South Carolina Upstate,A-Sun,34,1084,31.9,4.4,10.7,3.1,6.5,1.4,4.2,2.1,2.6,0.5,4.5,5,4.2,1.8,0.2,2.9,2.3,12.2
1882,1881,Ken Williams\ken-williams-1,SO,2014-15,G,South Alabama,Sun Belt,33,1087,32.9,5,13.3,2.4,6.2,2.6,7.1,3.1,3.9,0.4,3.3,3.7,2.4,0.7,0.3,2.3,2,15.7
862,861,Keifer Sykes\keifer-sykes-1,SR,2014-15,G,Green Bay,Horizon,33,1156,35,6.5,14.3,5.1,9.8,1.4,4.5,4.3,5.5,0.8,3.7,4.5,3.9,1.7,0.2,2.2,2.2,18.6
1867,1866,Jelani Hewitt\jelani-hewitt-1,SR,2014-15,G,Georgia Southern,Sun Belt,31,1087,35.1,4.8,13.7,1.9,5.1,2.9,8.6,5.1,6.4,1,3.2,4.2,3.7,2.5,0.3,2.6,1.8,17.6
875,874,Alex Barlow\alex-barlow-1,SR,2014-15,G,Butler,Big East,34,1154,33.9,2.9,7.1,1.2,2.6,1.7,4.5,1.5,1.8,0.5,3.5,4,2.6,2.2,0.1,1.9,3,8.9
884,883,Dante Williams\dante-williams-2,SR,2014-15,F,Oakland,Horizon,33,1154,35,3.6,8.8,1.5,3,2,5.8,0.8,1.2,0.9,1.8,2.7,1.7,0.8,0.3,1.3,2.8,10
879,878,Kevin Hardy\kevin-hardy-1,SR,2014-15,G,McNeese State,Southland,31,1154,37.2,5.5,11.5,5.2,10.6,0.3,0.8,2.2,4,2.5,4.2,6.7,4,2.7,1,1.7,2.5,13.5
878,877,Treshawn Hagood\treshawn-hagood-1,SR,2014-15,G,Prairie View,SWAC,33,1154,35,4.8,11.7,4.3,9.9,0.4,1.8,2.7,4.6,1.4,3.7,5.2,4.8,2.4,0.1,3.4,2.2,12.7
877,876,Riley Grabau\riley-grabau-1,SR,2014-15,G,Wyoming,MWC,34,1154,33.9,2.3,6.1,0.5,1.2,1.8,4.9,2.7,2.9,0.1,2.1,2.2,2.1,0.2,0.1,1.4,1.6,9.1
29,30,Chasson Randle\chasson-randle-1,SR,2014-15,G,Stanford,Pac-12,37,1347,36.4,5.9,14.6,3.4,7.9,2.4,6.7,5.4,6.2,0.3,3,3.3,3,1.4,0.1,2,2.2,19.6
826,825,Jarell Martin\jarell-martin-1,SO,2014-15,F,Louisiana State,SEC,33,1159,35.1,6.1,12,5.7,10.5,0.4,1.6,4.2,6.2,3,6.3,9.2,1.8,1.2,0.7,2.8,2.8,16.9
1955,1954,LeRon Barnes\leron-barnes-1,JR,2014-15,G,Houston,AAC,32,1083,33.8,2.6,6.2,1.7,3.6,0.8,2.6,1.4,2,2.1,4.3,6.4,1.3,0.8,0.7,1.3,2.7,7.4
49,50,Josh Gasser\josh-gasser-1,SR,2014-15,G,Wisconsin,Big Ten,40,1320,33,1.9,4.4,0.7,1.2,1.2,3.2,1.6,1.9,0.7,2.8,3.5,1.8,0.8,0.2,0.5,2.3,6.6
873,872,Isiah Umipig\isiah-umipig-1,SR,2014-15,G,Seattle,WAC,34,1155,34,5.2,12.9,1.6,4.3,3.6,8.6,2.9,3.4,0.4,2.8,3.1,2.9,1.3,0,2.1,2.1,17
1886,1885,Aaron Brown\aaron-brown-1,SR,2014-15,G,Boston College,ACC,32,1086,33.9,4.9,12,3.1,6.1,1.9,5.9,3.1,4.5,0.5,2.6,3.1,2,0.6,0,2.2,2,14.8
2282,2281,Taylor Johns\taylor-johns-1,JR,2014-15,F,UC-Riverside,Big West,31,1067,34.4,6.2,13.3,5.9,12,0.3,1.2,3.6,5.7,2.6,5.6,8.2,1.9,1.2,1.7,3.4,2.9,16.3
696,695,Keith Hornsby\keith-hornsby-1,JR,2014-15,G,Louisiana State,SEC,33,1172,35.5,4.7,11.2,2.5,5.7,2.2,5.5,1.8,2.2,0.6,3.6,4.2,2.1,1.1,0.5,1.4,1.6,13.4
1472,1471,Barrington Stevens\barrington-stevens-1,JR,2014-15,G,South Alabama,Sun Belt,33,1109,33.6,2.7,7.3,1.4,3.7,1.3,3.6,0.7,1,0.5,2.3,2.8,3.2,0.5,0.1,1.6,2.1,7.4
626,625,James Sinclair\james-sinclair-1,SR,2014-15,G,Western Carolina,Southern,31,1180,38.1,6.9,17.2,5.3,11.9,1.6,5.2,3.9,5.1,1.9,4.2,6,2.9,2.2,0.5,2.5,2.1,19.4
1547,1546,Markus Crider\markus-crider-1,JR,2014-15,F,Georgia State,Sun Belt,35,1104,31.5,4,6.8,4,6.7,0,0.1,1.7,2.5,1.7,4.8,6.4,1.8,1.3,0.3,1.7,3.2,9.7
1935,1934,Jarvis Williams\jarvis-williams-3,SR,2014-15,F,Murray State,OVC,35,1085,31,5.7,10,5.7,10,0,0,4.3,6.5,3.9,4.5,8.4,0.9,0.7,1,1.4,2.7,15.7
1449,1448,Kris Yanku\kris-yanku-1,SO,2014-15,G,Northern Arizona,Big Sky,37,1111,30,3.5,10.6,3,8.8,0.5,1.8,6.2,7.8,0.6,3.9,4.5,5.1,1.2,0,3.1,2.5,13.8
1823,1822,Omar Prewitt\omar-prewitt-1,SO,2014-15,G,William & Mary,CAA,33,1089,33,4.6,10,3.1,5.6,1.5,4.5,2.8,3.9,0.5,3.9,4.4,2.5,1.2,0.8,1.9,2.3,13.5
95,96,Aaseem Dixon\aaseem-dixon-1,SR,2014-15,G,Northern Arizona,Big Sky,37,1293,34.9,4.3,11.8,1.9,5.6,2.4,6.2,2,2.6,0.8,2.6,3.4,2.3,0.7,0,1.5,1.7,12.9
94,95,R.J. Hunter\rj-hunter-1,JR,2014-15,G,Georgia State,Sun Belt,35,1294,37,5.8,14.7,3.5,7.2,2.3,7.5,5.8,6.6,0.8,3.9,4.7,3.6,2.1,1,2.2,2.4,19.7
1559,1558,Jalan West\jalan-west-1,JR,2014-15,G,Northwestern State,Southland,32,1104,34.5,6,13.2,3.3,6.8,2.7,6.4,5.3,6.1,0.6,3.8,4.4,7.7,2.1,0.3,2.8,2,20
1558,1557,Fred VanVleet\fred-van-vleet-1,JR,2014-15,G,Wichita State,MVC,35,1104,31.5,4.3,10,3.2,6.8,1.1,3.2,3.8,4.8,1.2,3.3,4.5,5.2,1.9,0.1,1.7,1.4,13.6
785,784,Ike Nwamu\ike-nwamu-1,JR,2014-15,G,Mercer,Southern,35,1163,33.2,4.9,11.4,2.6,5.3,2.3,6.1,3.1,4.1,0.7,2.6,3.3,1.6,0.7,0.4,2.1,1.8,15.1
2009,2008,Jordan Mickey\jordan-mickey-1,SO,2014-15,F,Louisiana State,SEC,31,1081,34.9,6.2,12.2,6.1,11.9,0,0.3,3.1,4.7,3.2,6.7,9.9,1.3,0.9,3.6,3.3,2.6,15.4
2008,2007,Stanley Johnson\stanley-johnson-1,FR,2014-15,F,Arizona,Pac-12,38,1081,28.4,4.6,10.3,3.4,7.2,1.1,3.1,3.5,4.7,2,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8
1445,1444,Deron Powers\deron-powers-1,JR,2014-15,G,Hampton,MEAC,34,1111,32.7,3.1,8.1,2,4.6,1.2,3.6,2.7,3.2,0.8,2.3,3.1,3.8,1.2,0.1,1.6,2.3,10.1
1920,1919,Dylan Garrity\dylan-garrity-1,SR,2014-15,G,Sacramento State,Big Sky,33,1085,32.9,4.5,9.7,2,3.7,2.5,6,2.5,3,0.2,1.8,2,2.5,1,0,1.7,1.6,13.9
544,543,Corey Petros\corey-petros-1,SR,2014-15,C,Oakland,Horizon,33,1190,36.1,6.1,10.1,6.1,10.1,0,0,2.1,4.5,3.3,5,8.2,2,0.5,0.3,1.5,2.6,14.3
546,545,Speedy Smith\kenneth-smith-1,SR,2014-15,G,Louisiana Tech,CUSA,36,1190,33.1,2.1,5.5,1.1,2.8,1,2.7,1.3,1.7,0.8,3.2,4,7.4,1.9,0.1,2.5,2.3,6.4
551,550,Jordan Gregory\jordan-gregory-1,SR,2014-15,G,Montana,Big Sky,33,1189,36,5.3,13.2,2.7,6.3,2.6,6.9,3.7,4.7,0.5,2.8,3.4,3.2,0.6,0,2.1,1.6,17
7,8,Jerian Grant\jerian-grant-1,SR,2014-15,G,Notre Dame,ACC,38,1408,37.1,5.4,11.2,4.1,7.1,1.3,4.2,4.5,5.7,0.3,2.7,3,6.7,1.7,0.5,2.2,2,16.5
2023,2022,Malcolm Duvivier\malcolm-duvivier-1,SO,2014-15,G,Oregon State,Pac-12,31,1080,34.8,3.5,9.6,2.6,6.5,1,3.1,2.6,3.5,0.6,2.3,3,3.5,1.2,0.1,2.7,2.7,10.7
1008,1007,Montay Brandon\montay-brandon-1,JR,2014-15,G,Florida State,ACC,33,1142,34.6,4,7.5,3.9,6.8,0.2,0.6,3.5,5.3,1.5,4.1,5.5,1.9,1.1,0.4,2.3,1.8,11.8
561,560,Brent Jones\brent-jones-1,SR,2014-15,G,St. Francis (NY),NEC,35,1188,33.9,4.5,11.3,3.1,7,1.4,4.3,3.7,4.8,0.8,2.6,3.4,5.3,1.9,0.1,3.4,1.9,14.1
772,771,Delon Wright\delon-wright-1,SR,2014-15,G,Utah,Pac-12,35,1165,33.3,4.7,9.3,4,7.2,0.7,2.1,4.4,5.2,1,4,4.9,5.1,2.1,1,1.9,1.4,14.5
2021,2020,Tekele Cotton\tekele-cotton-1,SR,2014-15,G,Wichita State,MVC,34,1080,31.8,3.6,8.7,2.6,5.4,1,3.4,1.6,2.3,0.7,3.2,3.9,2.9,1.4,0.3,1.3,1.6,9.8
1003,1002,Sir'Dominic Pointer\sirdominic-pointer-1,SR,2014-15,G,St. John's (NY),Big East,33,1143,34.6,5.3,10.1,5.2,9.4,0.1,0.8,3,4.2,1.9,5.7,7.7,3,1.9,2.4,2,3,13.7
1002,1001,Jahlil Okafor\jahlil-okafor-1,FR,2014-15,C,Duke,ACC,38,1143,30.1,7.3,11.1,7.3,11.1,0,0,2.6,5.1,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3
564,563,D'Angelo Russell\dangelo-russell-1,FR,2014-15,G,Ohio State,Big Ten,35,1188,33.9,6.6,14.7,3.9,8.1,2.7,6.6,3.4,4.5,1,4.7,5.7,5,1.6,0.3,2.9,2.1,19.3
1441,1440,Stephen Maxwell\stephen-maxwell-1,SR,2014-15,F,Cal State Northridge,Big West,33,1111,33.7,5.2,10.6,5.2,10.6,0,0,4.3,5.9,3.3,4.7,8,0.6,0.8,0.2,2,2.7,14.7
1459,1458,Xavier Rathan-Mayes\xavier-rathan-mayes-1,FR,2014-15,G,Florida State,ACC,32,1110,34.7,5.2,12.4,3.7,7.1,1.5,5.3,3.1,4.4,0.5,3,3.5,4.3,1.1,0,3.4,2.3,14.9
92,93,Denzel Valentine\denzel-valentine-1,JR,2014-15,G,Michigan State,Big Ten,39,1295,33.2,5.1,11.4,2.4,5.1,2.6,6.3,1.8,2.2,1.2,5.1,6.3,4.3,0.9,0.2,2.4,2.2,14.5
612,611,Tyler Harvey\tyler-harvey-1,JR,2014-15,G,Eastern Washington,Big Sky,32,1182,36.9,7.2,15.3,3.2,6,4,9.3,4.7,5.5,0.6,3,3.6,2.6,1.1,0.1,2,1.9,23.1
2269,2268,Brad Waldow\brad-waldow-1,SR,2014-15,F,Saint Mary's (CA),WCC,31,1068,34.5,7.6,13.6,7.6,13.6,0,0,3.9,5.9,2.9,6.2,9.1,2.2,0.5,0.7,2.1,2.4,19
944,943,Kendall Gray\kendall-gray-1,SR,2014-15,C,Delaware State,MEAC,34,1149,33.8,4.4,8,4.4,8,0,0,2.9,4.5,3.3,8.5,11.8,1,0.4,2.8,2.1,2.7,11.7
1466,1465,Karamo Jawara\karamo-jawara-1,SR,2014-15,F,North Carolina Central,MEAC,33,1109,33.6,2.7,6.1,2,4.2,0.7,1.9,1.5,2.2,1,5.4,6.4,2.3,1.1,0.7,1.7,2.8,7.6
1908,1907,Michael Qualls\michael-qualls-1,JR,2014-15,G,Arkansas,SEC,36,1086,30.2,5,11.5,3.5,6.9,1.5,4.6,4.4,5.7,1.6,3.7,5.3,1.7,0.9,0.5,1.7,1.7,15.9
590,589,Raheem Appleby\raheem-appleby-1,SR,2014-15,G,Louisiana Tech,CUSA,36,1184,32.9,5.6,13.9,3.6,7.9,2,6,1.8,2.4,0.6,2.1,2.7,2,1.3,0.1,1.1,1,14.9
956,955,Canyon Barry\canyon-barry-1,SO,2014-15,G,College of Charleston,CAA,33,1147,34.8,4.4,11.7,2.5,6.4,1.9,5.3,1.7,2.4,0.8,4.2,5.1,1.6,1.2,0.5,2,1.9,12.5
1998,1997,D'Shon Taylor\dshon-taylor-1,JR,2014-15,G,Norfolk State,MEAC,34,1082,31.8,4.3,9.5,2.8,5.3,1.5,4.1,3,4.4,1.6,3.4,5,1.3,0.8,0.7,1.7,2.7,13
605,604,Mikh McKinney\mikh-mckinney-1,SR,2014-15,G,Sacramento State,Big Sky,32,1183,37,6.8,13.5,4.8,8.8,2,4.7,3.4,4.3,0.5,2.3,2.8,4.9,2.4,0.1,2.1,1.8,19.2
606,605,J.J. O'Brien\jj-obrien-1,SR,2014-15,F,San Diego State,MWC,36,1183,32.9,4.1,8.9,3.8,7.9,0.3,1,1.7,2.6,2.2,3,5.2,2.4,1.4,0.2,1.5,1.3,10.3
607,606,Dyami Starks\dyami-starks-1,SR,2014-15,G,Bryant,NEC,31,1183,38.2,6,16,2.9,6.8,3.2,9.2,3.4,3.7,0.5,2.9,3.4,1.5,0.9,0.2,2.1,1.9,18.6
