,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1711,1710,Jimmy Whitt\jimmy-whitt-1,SO,2017-18,G,Southern Methodist,AAC,33,1096,33.2,4.2,8.7,4.1,8.1,0.2,0.6,1.8,3.1,1.5,3.7,5.2,3.5,1.8,0.5,1.6,2.3,10.5
967,966,Sean Lloyd\sean-lloyd-1,JR,2017-18,G,Southern Illinois,MVC,33,1146,34.7,4.3,9.2,3.4,6.8,0.9,2.3,2.6,3.5,1.4,3.5,4.9,2.1,1.6,0.5,1.8,2.4,12.1
1828,1827,Ivy Smith Jr.\ivy-smithjr-1,SO,2017-18,G,Grambling,SWAC,31,1089,35.1,4.8,12,4,9.8,0.8,2.2,6.3,7.8,0.8,3.7,4.5,5,2.2,0.2,3.5,3,16.7
1358,1357,Henry Caruso\henry-caruso-1,SR,2017-18,G,Santa Clara,WCC,31,1116,36,3.9,8.1,2.9,5.5,1,2.7,3.5,4.1,2.4,4.6,7,1.7,1.2,0.2,1.4,1.7,12.2
1319,1318,Frankie Ferrari\frankie-ferrari-1,JR,2017-18,G,San Francisco,WCC,39,1119,28.7,4,9.8,2.2,5.2,1.8,4.6,1.6,2,0.2,2.3,2.5,4.6,1,0,1.8,1.8,11.4
217,216,Donte Clark\donte-clark-1,SR,2017-18,G,Texas Southern,SWAC,36,1252,34.8,5.6,14.1,4.5,9.9,1.2,4.1,6,7.8,1.1,4.1,5.2,2.6,1.1,0.3,2.8,3.1,18.4
1834,1833,Chris Chiozza\chris-chiozza-1,SR,2017-18,G,Florida,SEC,34,1088,32,3.9,9.2,2.7,6,1.1,3.2,2.2,2.8,0.5,3.8,4.3,6.1,1.9,0.1,1.8,2.1,11.1
215,214,Gary Trent Jr.\gary-trentjr-1,FR,2017-18,G,Duke,ACC,37,1253,33.9,4.8,11.5,2.2,5,2.6,6.5,2.3,2.6,0.8,3.4,4.2,1.4,1.2,0.1,1,1.7,14.5
625,624,John Konchar\john-konchar-1,JR,2017-18,G,Purdue-Fort Wayne,Summit,33,1180,35.8,5.4,11.1,3.4,5.9,2,5.2,2.1,3.3,2,6.1,8.1,4.7,2.5,0.7,1.6,1.8,14.8
1328,1327,Marvin Bagley III\marvin-bagleyiii-1,FR,2017-18,F,Duke,ACC,33,1118,33.9,8.2,13.3,7.5,11.6,0.7,1.8,4,6.3,4,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21
2212,2211,Lovell Cabbil\lovell-cabbil-1,JR,2017-18,G,Liberty,Big South,33,1070,32.4,3.6,9.3,2.1,4.8,1.5,4.5,2.6,3.1,0.4,4.2,4.6,3.7,1.3,0.4,2.1,1.9,11.2
1668,1667,Elijah Minnie\elijah-minnie-1,JR,2017-18,F,Eastern Michigan,MAC,35,1098,31.4,6,13.3,3.8,6.7,2.2,6.6,2.6,3.1,1.4,4.7,6.1,1.1,1.8,1.9,2.3,1.9,16.8
631,630,TJ Haws\tj-haws-1,SO,2017-18,G,Brigham Young,WCC,35,1179,33.7,4,9.7,2.5,5.1,1.4,4.6,2.3,2.8,0.3,2.4,2.7,4.2,1.2,0.3,1.9,2,11.7
202,201,C.J. Burks\cj-burks-1,JR,2017-18,G,Marshall,CUSA,35,1256,35.9,7.4,15.7,5,9,2.5,6.7,2.7,3.1,0.5,3.6,4.1,3.1,1,0.1,3.1,2.1,20.1
1659,1658,Hayden Dalton\hayden-dalton-1,SR,2017-18,F,Wyoming,MWC,33,1098,33.3,5.8,12.6,3.2,6.2,2.6,6.4,3.6,4.3,1.4,6.5,7.8,2.6,0.9,0.5,2.5,2.7,17.7
