,year,round,pick,player,position,school,draft_name,identifier,Player,Class,Season,Pos,School,Conf,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,,,,,,
271,2016,2,38,"McCaw, Patrick",SG/SF,UNLV,Patrick McCaw,Patrick McCaw,Patrick McCaw,SO,2015-16,G,Nevada-Las Vegas,MWC,33,33.7,5.1,10.9,3,5.3,2.1,5.6,2.5,3.2,1.2,4,5.1,3.9,2.5,0.4,2.1,2.2,14.7,,,,,,,
122,2013,2,56,"Siva, Peyton",PG,Louisville,Peyton Siva,Peyton Siva,Peyton Siva,SR,2012-13,G,Louisville,Big East,40,31.2,3.5,8.6,2.5,5.3,1,3.3,2.1,2.5,0.3,2.1,2.4,5.7,2.3,0.2,2.7,2.6,10,,,,,,,
101,2013,2,42,"Jackson, Pierre",PG,Baylor,Pierre Jackson,Pierre Jackson,Pierre Jackson,SR,2012-13,G,Baylor,Big 12,36,34.8,6,14.1,3.6,7.3,2.4,6.8,5.3,6.7,0.7,3.1,3.8,7.1,1.5,0,3.4,2.2,19.8,,,,,,,
48,2012,2,37,"Acy, Quincy",PF,Baylor,Quincy Acy,Quincy Acy,Quincy Acy,SR,2011-12,F,Baylor,Big 12,38,29.7,4.2,7.2,4.1,7.1,0.1,0.1,3.6,4.6,2.6,4.8,7.4,1,0.9,1.8,1.9,3.1,12,,,,,,,
199,2015,1,28,"Hunter, R. J.",SG,Georgia State,R. J. Hunter,R.J. Hunter,R.J. Hunter,JR,2014-15,G,Georgia State,Sun Belt,35,37,5.8,14.7,3.5,7.2,2.3,7.5,5.8,6.6,0.8,3.9,4.7,3.6,2.1,1,2.2,2.4,19.7,,,,,,,
131,2013,1,25,"Bullock, Reggie",SF,North Carolina,Reggie Bullock,Reggie Bullock,Reggie Bullock,JR,2012-13,G,North Carolina,ACC,35,31.4,4.9,10.2,2.4,4.4,2.5,5.8,1.6,2.1,2,4.4,6.5,2.9,1.3,0.3,1.2,1.4,13.9,,,,,,,
1,2011,1,24,"Jackson, Reggie",PG,Boston College,Reggie Jackson,Reggie Jackson,Reggie Jackson,JR,2010-11,G,Boston College,ACC,34,34.1,6.4,12.8,4.4,7.8,2.1,5,3.2,4,1,3.3,4.3,4.5,1.1,0.5,2.4,1.7,18.2,,,,,,,
82,2012,2,58,"Hummel, Robbie",SF,Purdue,Robbie Hummel,Robbie Hummel,Robbie Hummel,SR,2011-12,F,Purdue,Big Ten,35,32.2,5.5,13.3,3.5,7.9,2.1,5.4,3.2,3.9,1.6,5.6,7.2,1.9,0.7,1.2,0.9,2.1,16.4,,,,,,,
153,2014,1,23,"Hood, Rodney",SG,Duke,Rodney Hood,Rodney Hood,Rodney Hood,SO,2013-14,F,Duke,ACC,35,32.9,5.5,11.8,3.4,6.9,2,4.8,3.1,3.9,0.8,3.1,3.9,2.1,0.7,0.3,1.5,2.6,16.1,,,,,,,
191,2015,1,23,"Hollis-Jefferson, Rondae",SF,Arizona,Rondae Hollis-Jefferson,Rondae Hollis-Jefferson,Rondae Hollis-Jefferson,SO,2014-15,F,Arizona,Pac-12,38,28.7,3.6,7.2,3.5,6.5,0.2,0.8,3.8,5.4,2,4.8,6.8,1.6,1.2,0.8,1.6,2.5,11.2,,,,,,,
58,2012,1,16,"White, Royce",PF,Iowa State,Royce White,Royce White,Royce White,SO,2011-12,F,Iowa State,Big 12,34,31.5,5.1,9.6,5,9.3,0.1,0.4,3,6,2.5,6.8,9.3,5,1.2,0.9,3.8,2.6,13.4,,,,,,,
163,2014,2,47,"Smith, Russ",PG/SG,Louisville,Russ Smith,Russ Smith,Russ Smith,SR,2013-14,G,Louisville,AAC,37,29.3,6.1,13,4.2,8.1,1.9,4.9,4.1,5.9,0.8,2.5,3.3,4.6,2,0.1,2.8,2.5,18.2,,,,,,,
234,2015,1,18,"Dekker, Sam",SF,Wisconsin,Sam Dekker,Sam Dekker,Sam Dekker,JR,2014-15,F,Wisconsin,Big Ten,40,31,5.3,10.2,4.1,6.4,1.3,3.8,2,2.8,1.9,3.6,5.5,1.2,0.5,0.5,0.9,1.1,13.9,,,,,,,
189,2014,2,55,"Christon, Semaj",PG,Xavier,Semaj Christon,Semaj Christon,Semaj Christon,SO,2013-14,G,Xavier,Big East,34,35.3,5.9,12.4,5.4,10.9,0.6,1.4,4.6,6.9,0.4,2.2,2.7,4.2,1.3,0.2,2.6,2.1,17,,,,,,,
316,2017,2,37,"Ojeleye, Semi",SF/PF,SMU,Semi Ojeleye,Semi Ojeleye,Semi Ojeleye,JR,2016-17,F,Southern Methodist,AAC,35,34.1,6,12.3,3.9,7.4,2.1,4.9,4.9,6.3,2.3,4.6,6.9,1.5,0.4,0.4,1.4,1.8,19,,,,,,,
149,2014,1,24,"Napier, Shabazz",PG,Connecticut,Shabazz Napier,Shabazz Napier,Shabazz Napier,SR,2013-14,G,Connecticut,AAC,40,35.1,5.3,12.4,3.2,7,2.2,5.4,5.2,6,1,4.9,5.9,4.9,1.8,0.3,2.9,2.1,18,,,,,,,
124,2013,1,18,"Larkin, Shane",PG,Miami (FL),Shane Larkin,Shane Larkin,Shane Larkin,SO,2012-13,G,Miami (FL),ACC,36,36.4,5.1,10.6,3.2,5.9,1.9,4.7,2.4,3.1,0.5,3.4,3.8,4.6,2,0.1,2.3,1.6,14.5,,,,,,,
2,2011,2,34,"Mack, Shelvin",PG,Butler,Shelvin Mack,Shelvin Mack,Shelvin Mack,JR,2010-11,G,Butler,Horizon,38,32.1,5.3,13,3,6.5,2.3,6.5,3.2,4.1,0.7,3.8,4.5,3.4,0.8,0.1,2.4,1.7,16,,,,,,,
318,2017,2,48,"Thornwell, Sindarius",SG,South Carolina,Sindarius Thornwell,Sindarius Thornwell,Sindarius Thornwell,JR,2015-16,G,South Carolina,SEC,34,33.1,4.2,11.1,2.9,7,1.4,4.1,3.6,4.7,1.1,3.7,4.8,3.8,1.5,0.5,2.3,1.9,13.4,,,,,,,
220,2015,2,53,"Pointer, Sir'Dominic",SF,St. John's,Sir'Dominic Pointer,Sir'Dominic Pointer,Sir'Dominic Pointer,SR,2014-15,G,St. John's (NY),Big East,33,34.6,5.3,10.1,5.2,9.4,0.1,0.8,3,4.2,1.9,5.7,7.7,3,1.9,2.4,2,3,13.7,,,,,,,
98,2013,1,23,"Hill, Solomon",SF,Arizona,Solomon Hill,Solomon Hill,Solomon Hill,SR,2012-13,F,Arizona,Pac-12,35,33,4.5,9.9,2.9,5.7,1.6,4.2,2.7,3.5,1.7,3.6,5.3,2.7,1.1,0.6,2.2,2.2,13.4,,,,,,,
148,2014,2,38,"Dinwiddie, Spencer",PG/SG,Colorado,Spencer Dinwiddie,Spencer Dinwiddie,Spencer Dinwiddie,SO,2012-13,G,Colorado,Pac-12,33,32.5,3.9,9.5,2.5,5.3,1.4,4.2,6,7.3,0.3,2.9,3.2,3,1.3,0.5,2.2,2,15.3,,,,,,,
190,2015,1,8,"Johnson, Stanley",SF,Arizona,Stanley Johnson,Stanley Johnson,Stanley Johnson,FR,2014-15,F,Arizona,Pac-12,38,28.4,4.6,10.3,3.4,7.2,1.1,3.1,3.5,4.7,2,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,,,,,,,
317,2017,2,46,"Brown, Sterling",SG,SMU,Sterling Brown,Sterling Brown,Sterling Brown,SR,2016-17,G,Southern Methodist,AAC,35,32.7,4.6,10,2.9,6.1,1.7,3.9,2.5,3.1,1.6,4.9,6.5,3,1.4,0.5,2,2.6,13.4,,,,,,,
171,2014,1,14,"Warren, T. J.",SF,NC State,T. J. Warren,T.J. Warren,T.J. Warren,SO,2013-14,F,NC State,ACC,35,35.4,9.8,18.6,8.9,15.3,0.9,3.3,4.5,6.5,3.2,3.9,7.1,1.1,1.8,0.6,2.4,2.8,24.9,,,,,,,
63,2012,1,18,"Jones, Terrence",PF,Kentucky,Terrence Jones,Terrence Jones,Terrence Jones,SO,2011-12,F,Kentucky,SEC,38,29.3,4.7,9.3,4.2,8,0.4,1.3,2.6,4.2,2.5,4.6,7.2,1.3,1.3,1.8,1.6,2.4,12.3,,,,,,,
95,2012,1,8,"Ross, Terrence",SG,Washington,Terrence Ross,Terrence Ross,Terrence Ross,SO,2011-12,G,Washington,Pac-12,35,31.1,6.1,13.4,4.1,7.9,2.1,5.5,2.1,2.7,1.4,5.1,6.4,1.4,1.3,0.9,2,2.8,16.4,,,,,,,
208,2015,1,16,"Rozier, Terry",PG,Louisville,Terry Rozier,Terry Rozier,Terry Rozier,SO,2014-15,G,Louisville,ACC,36,35,5.9,14.5,4.6,10.1,1.3,4.4,3.9,4.9,1.2,4.4,5.6,3,2,0.2,2.2,1.7,17.1,,,,,,,
59,2012,1,5,"Robinson, Thomas",PF,Kansas,Thomas Robinson,Thomas Robinson,Thomas Robinson,JR,2011-12,F,Kansas,Big 12,39,31.8,6.7,13.3,6.5,12.9,0.2,0.4,4.2,6.1,2.9,9,11.9,1.8,1.1,0.9,2.7,2.7,17.7,,,,,,,
132,2013,2,37,"Mitchell, Tony",PF,North Texas,Tony Mitchell,Tony Mitchell,Tony Mitchell,SO,2010-11,F,Alabama,SEC,37,31.5,6.2,11.8,5.3,9.2,0.8,2.6,2.1,3.2,2.6,4.4,7.1,1.3,1.6,1.1,1.7,2.4,15.2,,,,,,,
130,2013,1,20,"Snell, Tony",SF,New Mexico,Tony Snell,Tony Snell,Tony Snell,JR,2012-13,G,New Mexico,MWC,35,31.2,4.1,9.7,2.3,5.1,1.8,4.7,2.5,2.9,0.4,2.2,2.6,2.9,0.8,0.5,2.1,1.3,12.5,,,,,,,
125,2013,1,9,"Burke, Trey",PG,Michigan,Trey Burke,Trey Burke,Trey Burke,SO,2012-13,G,Michigan,Big Ten,39,35.3,6.6,14.4,4.7,9.3,1.9,5.1,3.4,4.3,0.5,2.6,3.2,6.7,1.6,0.5,2.2,1.9,18.6,,,,,,,
38,2011,1,4,"Thompson, Tristan",C/PF,Texas,Tristan Thompson,Tristan Thompson,Tristan Thompson,FR,2010-11,F,Texas,Big 12,36,30.7,4.8,8.8,4.8,8.8,0,0,3.5,7.3,3.8,4,7.8,1.3,0.9,2.4,1.8,2.8,13.1,,,,,,,
313,2017,2,41,"Dorsey, Tyler",SG,Oregon,Tyler Dorsey,Tyler Dorsey,Tyler Dorsey,SO,2016-17,G,Oregon,Pac-12,39,30,4.8,10.4,2.6,5.1,2.3,5.3,2.7,3.6,0.8,2.6,3.5,1.7,0.8,0.1,1.5,1.5,14.6,,,,,,,
178,2014,1,18,"Ennis, Tyler",PG,Syracuse,Tyler Ennis,Tyler Ennis,Tyler Ennis,FR,2013-14,G,Syracuse,ACC,34,35.7,4.4,10.6,3.5,8.1,0.9,2.5,3.4,4.4,0.8,2.6,3.4,5.5,2.1,0.2,1.7,2,12.9,,,,,,,
198,2015,2,51,"Harvey, Tyler",PG,Eastern Washington,Tyler Harvey,Tyler Harvey,Tyler Harvey,JR,2014-15,G,Eastern Washington,Big Sky,32,36.9,7.2,15.3,3.2,6,4,9.3,4.7,5.5,0.6,3,3.6,2.6,1.1,0.1,2,1.9,23.1,,,,,,,
41,2011,2,35,"Honeycutt, Tyler",SF,UCLA,Tyler Honeycutt,Tyler Honeycutt,Tyler Honeycutt,SO,2010-11,F,UCLA,Pac-10,33,35,4.4,10.8,2.7,6.2,1.7,4.6,2.4,3.2,1.5,5.7,7.2,2.8,0.9,2,3,1.6,12.8,,,,,,,
319,2017,1,24,"Lydon, Tyler",PF,Syracuse,Tyler Lydon,Tyler Lydon,Tyler Lydon,SO,2016-17,F,Syracuse,ACC,34,36.1,4.4,9.4,3,5.7,1.4,3.6,2.9,3.4,2.3,6.3,8.6,2.1,1,1.4,1.7,2.5,13.2,,,,,,,
248,2016,2,34,"Ulis, Tyler",PG,Kentucky,Tyler Ulis,Tyler Ulis,Tyler Ulis,SO,2015-16,G,Kentucky,SEC,35,36.8,5.5,12.6,3.9,8.1,1.6,4.6,4.8,5.6,0.5,2.5,3,7,1.5,0.1,2,1.8,17.3,,,,,,,
79,2012,1,17,"Zeller, Tyler",C,North Carolina,Tyler Zeller,Tyler Zeller,Tyler Zeller,SR,2011-12,F,North Carolina,ACC,38,28.2,5.8,10.5,5.8,10.5,0,0,4.8,5.9,3.8,5.8,9.6,0.9,0.9,1.5,1.9,2.7,16.3,,,,,,,
238,2016,2,60,"Wallace, Tyrone",PG,California,Tyrone Wallace,Tyrone Wallace,Tyrone Wallace,JR,2014-15,G,University of California,Pac-12,33,34.9,6.3,14.8,5.5,12.2,0.8,2.7,3.6,6,0.9,6.2,7.1,4,1.3,0.3,2.8,2.8,17.1,,,,,,,
60,2012,2,41,"Taylor, Tyshawn",PG,Kansas,Tyshawn Taylor,Tyshawn Taylor,Tyshawn Taylor,SR,2011-12,G,Kansas,Big 12,39,33.4,5.8,12.2,4.3,8.3,1.5,3.9,3.5,5.1,0.2,2.1,2.3,4.8,1.3,0.2,3.5,2,16.6,,,,,,,
197,2015,1,24,"Jones, Tyus",PG,Duke,Tyus Jones,Tyus Jones,Tyus Jones,FR,2014-15,G,Duke,ACC,39,33.9,3.5,8.3,2.3,5.1,1.2,3.2,3.7,4.2,0.5,3,3.5,5.6,1.5,0.1,1.9,1.2,11.8,,,,,,,
70,2012,2,40,"Barton, Will",SG,Memphis,Will Barton,Will Barton,Will Barton,SO,2011-12,G,Memphis,CUSA,35,35.3,6.6,12.9,5.5,9.9,1.1,3.1,3.8,5.1,2,6,8,2.9,1.4,0.7,2.1,2.1,18,,,,,,,
175,2014,2,59,"Thames, Xavier",PG/SG,San Diego State,Xavier Thames,Xavier Thames,Xavier Thames,SR,2013-14,G,San Diego State,MWC,36,31.3,5.2,12.7,3.5,8.2,1.7,4.5,5.4,6.5,0.6,2.3,2.9,3.2,1.6,0.1,1.4,2,17.6,,,,,,,
281,2017,2,53,"Allen, Kadeem",SG,Arizona,Kadeem Allen,Kadeem Allen,Kadeem Allen,SO,,,,,34,30,3.1,6.9,2.2,4.7,0.9,2.2,2.5,3.4,0.4,3.7,4,3,1.6,0.6,1.9,2.4,9.8,,,,,,,
282,2017,2,35,"Rabb, Ivan",PF,California,Ivan Rabb,Ivan Rabb,Ivan Rabb,SO,,,,,31,32.6,4.9,10.1,4.6,9.4,0.3,0.6,4,6,3,7.4,10.5,1.5,0.7,1,2.2,3.1,14,,,,,,,
283,2017,2,56,"Bird, Jabari",SG,California,Jabari Bird,Jabari Bird,Jabari Bird,SR,,,,,27,32,5.2,11.8,2.8,5.2,2.4,6.6,1.6,2,1,3.7,4.7,1,0.7,0.2,1.9,1.9,14.3,,,,,,,
286,2017,1,16,"Patton, Justin",C,Creighton,Justin Patton,Justin Patton,Justin Patton,FR,,,,,35,25.3,5.7,8.5,5.5,8,0.2,0.4,1.3,2.5,1.7,4.5,6.2,1.2,0.9,1.4,1.7,2.7,12.9,,,,,,,
287,2017,1,3,"Tatum, Jayson",SF,Duke,Jayson Tatum,Jayson Tatum,Jayson Tatum,FR,,,,,29,33.3,5.7,12.6,4.3,8.6,1.4,4,4.1,4.8,1.3,6,7.3,2.1,1.3,1.1,2.6,3,16.8,,,,,,,
289,2017,1,20,"Giles, Harry",PF/C,Duke,Harry Giles,Harry Giles,Harry Giles,FR,,,,,26,11.5,1.7,3,1.7,3,0,0,0.5,0.9,1.6,2.3,3.8,0.3,0.3,0.7,0.7,2.2,3.9,,,,,,,
290,2017,2,31,"Jackson, Frank",PG,Duke,Frank Jackson,Frank Jackson,Frank Jackson,FR,,,,,36,24.9,3.7,7.8,2.3,4.2,1.4,3.6,2.1,2.8,0.6,1.9,2.5,1.7,0.6,0.1,1.4,2.4,10.9,,,,,,,
291,2017,1,6,"Isaac, Jonathan",SF/PF,Florida State,Jonathan Isaac,Jonathan Isaac,Jonathan Isaac,FR,,,,,32,26.2,4.1,8,3.1,5.2,1,2.8,2.9,3.7,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12,,,,,,,
292,2017,2,40,"Bacon, Dwayne",SG,Florida State,Dwayne Bacon,Dwayne Bacon,Dwayne Bacon,SO,,,,,35,28.8,6.3,14,4.7,9.1,1.6,4.9,3,3.9,1,3.2,4.2,1.7,1,0.1,2,1.6,17.2,,,,,,,
293,2017,1,10,"Collins, Zach",C/PF,Gonzaga,Zach Collins,Zach Collins,Zach Collins,FR,,,,,39,17.3,3.5,5.3,3.2,4.8,0.3,0.5,2.8,3.8,1.7,4.2,5.9,0.4,0.5,1.8,1.5,2.7,10,,,,,,,
296,2017,1,23,"Anunoby, OG",SF,Indiana,OG Anunoby,OG Anunoby,OG Anunoby,SO,,,,,16,25.1,4.3,7.6,3.4,4.8,0.9,2.8,1.7,3,1.8,3.7,5.4,1.4,1.3,1.3,1.6,2.1,11.1,,,,,,,
297,2017,2,42,"Bryant, Thomas",PF,Indiana,Thomas Bryant,Thomas Bryant,Thomas Bryant,SO,,,,,34,28.1,4.4,8.4,3.7,6.6,0.7,1.8,3.2,4.4,2.2,4.4,6.6,1.5,0.8,1.5,2.3,3.1,12.6,,,,,,,
298,2017,2,51,"Morris, Mont棠逦棠錩棠宕题濠",PG,Iowa State,Monte Morris,Monte Morris,Monte Morris,SR,,,,,35,35.3,6.2,13.3,4.6,9.2,1.5,4.1,2.5,3.2,1.1,3.7,4.8,6.2,1.5,0.3,1.2,1.5,16.4,,,,,,,
300,2017,2,34,"Mason III, Frank",PG,Kansas,Frank Mason III,Frank Mason III,Frank Mason III,SR,,,,,36,36.1,6.7,13.7,4.4,8.8,2.3,4.8,5.3,6.6,0.6,3.6,4.2,5.2,1.3,0.1,2.4,2,20.9,,,,,,,
301,2017,2,33,"Iwundu, Wes",SF,Kansas State,Wes Iwundu,Wes Iwundu,Wes Iwundu,SR,,,,,35,31.4,4.3,9,3.4,6.5,0.9,2.4,3.5,4.5,1,5.3,6.3,3.5,1,0.3,2.3,1.8,13,,,,,,,
302,2017,1,5,"Fox, De'Aaron",PG,Kentucky,De'Aaron Fox,De'Aaron Fox,De'Aaron Fox,FR,,,,,36,29.6,5.9,12.4,5.5,10.5,0.5,1.9,4.3,5.9,0.6,3.4,4,4.6,1.5,0.2,2.4,2.5,16.7,,,,,,,
310,2017,1,28,"Bradley, Tony",PF/C,North Carolina,Tony Bradley,Tony Bradley,Tony Bradley,FR,,,,,38,14.6,2.7,4.7,2.7,4.7,0,0,1.7,2.8,2.6,2.6,5.1,0.6,0.3,0.6,0.7,1.8,7.1,,,,,,,
311,2017,2,39,"Evans, Jawun",PG,Oklahoma State,Jawun Evans,Jawun Evans,Jawun Evans,SO,,,,,32,29.3,6.6,15.1,5.5,12.1,1.1,3,4.8,6,0.8,2.7,3.4,6.4,1.8,0.1,2.8,2.3,19.2,,,,,,,
320,2017,1,22,"Allen, Jarrett",C,Texas,Jarrett Allen,Jarrett Allen,Jarrett Allen,FR,,,,,33,32.2,5.4,9.6,5.4,9.4,0,0.2,2.5,4.5,3,5.4,8.4,0.8,0.6,1.5,2.5,2.1,13.4,,,,,,,
322,2017,1,18,"Leaf, T. J.",PF,UCLA,T. J. Leaf,T. J. Leaf,T. J. Leaf,FR,,,,,35,29.9,6.7,10.9,5.9,9.2,0.8,1.7,2.1,3,2.2,6,8.2,2.4,0.6,1.1,1.5,2.5,16.3,,,,,,,
323,2017,2,47,"Anigbogu, Ike",C,UCLA,Ike Anigbogu,Ike Anigbogu,Ike Anigbogu,FR,,,,,29,13,2,3.5,2,3.5,0,0,0.8,1.5,1.4,2.6,4,0.2,0.2,1.2,0.8,2.5,4.7,,,,,,,
324,2017,1,27,"Kuzma, Kyle",PF,Utah,Kyle Kuzma,Kyle Kuzma,Kyle Kuzma,JR,,,,,29,30.8,6.3,12.4,5.3,9.6,0.9,2.9,2.9,4.4,2.8,6.6,9.3,2.4,0.6,0.5,2.1,1.6,16.4,,,,,,,
326,2017,1,19,"Collins, John",PF,Wake Forest,John Collins,John Collins,John Collins,SO,,,,,33,26.6,7.1,11.4,7.1,11.4,0,0,5,6.7,3.8,6.1,9.8,0.5,0.6,1.6,1.8,3,19.2,,,,,,,
327,2017,1,1,"Fultz, Markelle",PG/SG,Washington,Markelle Fultz,Markelle Fultz,Markelle Fultz,FR,,,,,25,35.7,8.4,17.6,6.3,12.5,2.1,5,4.4,6.7,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,,,,,,,
328,2017,2,52,"Sumner, Edmond",PG,Xavier,Edmond Sumner,Edmond Sumner,Edmond Sumner,JR,,,,,22,31.7,4.6,9.6,4,7.6,0.5,2,4.5,6.2,0.5,3.6,4.1,4.8,1.2,0.7,2.6,2.3,14.3,,,,,,,
236,2016,1,12,"Prince, Taurean",PF,Baylor,Taurean Prince,Taurean Prince,Taurean Prince,SR,,,,,34,30.6,5.5,12.7,3.9,8.4,1.6,4.3,3.3,4.3,2.4,3.7,6.1,2.3,1.3,0.7,2.7,2.5,15.9,,,,,,,
241,2016,1,19,"Beasley, Malik",SG,Florida State,Malik Beasley,Malik Beasley,Malik Beasley,FR,,,,,34,29.8,5.4,11.6,3.8,7.4,1.6,4.2,3.1,3.8,1.3,4,5.3,1.5,0.9,0.2,1.7,2.2,15.6,,,,,,,
245,2016,2,33,"Diallo, Cheick",PF/C,Kansas,Cheick Diallo,Cheick Diallo,Cheick Diallo,FR,,,,,27,7.5,1.2,2.1,1.2,2.1,0,0,0.6,1,0.6,1.9,2.5,0,0.3,0.9,0.6,1.4,3,,,,,,,
247,2016,1,28,"Labissi棠逦棠錩棠宕棠邂re, Skal",PF/C,Kentucky,Skal Labissiere,Skal Labissiere,Skal Labissiere,FR,,,,,36,15.8,2.7,5.3,2.7,5.2,0,0.1,1.1,1.7,1,2.2,3.1,0.3,0.3,1.6,0.9,3,6.6,,,,,,,
249,2016,2,37,"Onuaku, Chinanu",PF/C,Louisville,Chinanu Onuaku,Chinanu Onuaku,Chinanu Onuaku,SO,,,,,31,24.6,4.4,7.1,4.4,7.1,0,0,1.1,1.8,2.9,5.5,8.5,1.6,0.8,2,2.1,3,9.9,,,,,,,
252,2016,2,40,"Stone, Diamond",C,Maryland,Diamond Stone,Diamond Stone,Diamond Stone,FR,,,,,35,23.1,4.8,8.4,4.8,8.4,0,0,2.9,3.8,2.2,3.2,5.4,0.4,0.5,1.6,1.5,2.3,12.5,,,,,,,
256,2016,2,31,"Davis, Deyonta",PF/C,Michigan State,Deyonta Davis,Deyonta Davis,Deyonta Davis,FR,,,,,35,18.6,3.4,5.7,3.4,5.7,0,0,0.7,1.1,2.1,3.4,5.5,0.7,0.3,1.8,0.9,2.3,7.5,,,,,,,
266,2016,2,46,"Hammons, A. J.",C,Purdue,A. J. Hammons,A. J. Hammons,A. J. Hammons,SR,,,,,33,24.6,6,10.2,5.8,9.8,0.2,0.3,2.7,3.8,2.3,5.8,8.2,1.1,0.3,2.5,2,2.4,15,,,,,,,
272,2016,2,41,"Zimmerman, Stephen",PF/C,UNLV,Stephen Zimmerman,Stephen Zimmerman,Stephen Zimmerman,FR,,,,,26,26.2,3.9,8.2,3.7,7.6,0.2,0.7,2.4,3.9,2.2,6.6,8.7,0.8,0.5,2,2.1,3,10.5,,,,,,,
274,2016,1,17,"Baldwin IV, Wade",PG,Vanderbilt,Wade Baldwin IV,Wade Baldwin IV,Wade Baldwin IV,SO,,,,,33,30.4,4.1,9.6,2.8,6.5,1.2,3.1,4.7,5.9,0.4,3.6,4,5.2,1.2,0.3,2.8,2.6,14.1,,,,,,,
275,2016,1,30,"Jones, Damian",C,Vanderbilt,Damian Jones,Damian Jones,Damian Jones,JR,,,,,33,26.2,5.6,9.5,5.6,9.4,0,0.1,2.7,5.1,2.2,4.6,6.9,1.2,0.2,1.6,2,3.3,13.9,,,,,,,
277,2016,1,8,"Chriss, Marquese",PF,Washington,Marquese Chriss,Marquese Chriss,Marquese Chriss,FR,,,,,34,24.9,5.3,9.9,4.6,8.2,0.6,1.8,2.6,3.8,2.5,2.9,5.4,0.8,0.9,1.6,2,4.1,13.7,,,,,,,
279,2016,2,52,"Bolomboy, Joel",PF/C,Weber State,Joel Bolomboy,Joel Bolomboy,Joel Bolomboy,SR,,,,,33,31.5,5.8,10.2,5.2,8.5,0.6,1.7,4.8,6.9,3.3,9.3,12.6,1.1,0.7,1.2,2.4,2.2,17.1,,,,,,,
194,2015,2,37,"Holmes, Richaun",SF/PF,Bowling Green,Richaun Holmes,Richaun Holmes,Richaun Holmes,JR,,,,,31,28.8,5.3,9.5,4.7,8.1,0.6,1.4,3.5,4.9,2.8,5.2,8,0.8,0.7,2.7,1.9,2.5,14.7,,,,,,,
201,2015,1,15,"Oubre Jr., Kelly",SG,Kansas,Kelly Oubre Jr.,Kelly Oubre Jr.,Kelly Oubre Jr.,FR,,,,,36,21,3.1,6.9,2.1,4.3,0.9,2.6,2.2,3.1,1.1,3.8,5,0.8,1.1,0.4,1.2,2,9.3,,,,,,,
202,2015,1,1,"Towns, Karl-Anthony",C,Kentucky,Karl-Anthony Towns,Karl-Anthony Towns,Karl-Anthony Towns,FR,,,,,39,21.1,3.7,6.6,3.7,6.4,0.1,0.2,2.8,3.4,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,,,,,,,
203,2015,1,6,"Cauley-Stein, Willie",C,Kentucky,Willie Cauley-Stein,Willie Cauley-Stein,Willie Cauley-Stein,JR,,,,,39,25.9,3.5,6.1,3.5,6.1,0,0,2,3.3,2.3,4.2,6.4,1,1.2,1.7,1.2,2,8.9,,,,,,,
204,2015,1,12,"Lyles, Trey",PF,Kentucky,Trey Lyles,Trey Lyles,Trey Lyles,FR,,,,,36,23,3.3,6.7,3.1,5.9,0.1,0.8,2.1,2.8,1.8,3.4,5.2,1.1,0.5,0.4,1.1,1.6,8.7,,,,,,,
205,2015,1,13,"Booker, Devin",SG,Kentucky,Devin Booker,Devin Booker,Devin Booker,FR,,,,,38,21.5,3.6,7.6,2,3.8,1.5,3.7,1.4,1.7,0.4,1.6,2,1.1,0.4,0.1,1,1.5,10,,,,,,,
207,2015,2,48,"Johnson, Dakari",C,Kentucky,Dakari Johnson,Dakari Johnson,Dakari Johnson,SO,,,,,39,16.3,2,4,2,4,0,0,2.3,3.7,1.7,2.9,4.6,0.7,0.4,0.9,1.1,1.8,6.4,,,,,,,
212,2015,2,55,"Lalanne, Cady",PF,Massachusetts,Cady Lalanne,Cady Lalanne,Cady Lalanne,SR,,,,,32,29,4.3,7.8,4.2,7.3,0.1,0.6,2.8,4.5,3.4,6.1,9.5,0.3,0.6,1.9,2.5,2.7,11.6,,,,,,,
213,2015,2,56,"Dawson, Branden",SF,Michigan State,Branden Dawson,Branden Dawson,Branden Dawson,SR,,,,,35,30.1,5.2,9.7,5.2,9.7,0,0,1.5,3,2.9,6.2,9.1,1.7,1.2,1.7,1.9,2.1,11.9,,,,,,,
222,2015,1,29,"McCullough, Chris",PF,Syracuse,Chris McCullough,Chris McCullough,Chris McCullough,FR,,,,,16,28.1,3.4,7.1,3.3,7,0.1,0.1,2.5,4.4,2.3,4.6,6.9,1.1,1.7,2.1,2.2,2.6,9.3,,,,,,,
223,2015,2,36,"Christmas, Rakeem",PF/C,Syracuse,Rakeem Christmas,Rakeem Christmas,Rakeem Christmas,SR,,,,,31,34.3,6.5,11.9,6.5,11.8,0,0,4.4,6.2,3.1,6,9.1,1.5,0.9,2.5,2.5,3.4,17.5,,,,,,,
225,2015,1,11,"Turner, Myles",C,Texas,Myles Turner,Myles Turner,Myles Turner,FR,,,,,34,22.2,3.4,7.6,2.9,5.7,0.5,1.8,2.8,3.3,1.3,5.2,6.5,0.6,0.3,2.6,1.4,2.4,10.1,,,,,,,
