,year,round,pick,player,position,school,draft_name,identifier,Player,Class,Season,Pos,School,Conf,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,,,,,,
268,2016,2,42,"Whitehead, Isaiah",PG/SG,Seton Hall,Isaiah Whitehead,Isaiah Whitehead,Isaiah Whitehead,SO,2015-16,G,Seton Hall,Big East,34,32.3,5.7,15.1,3.3,8.5,2.4,6.5,4.4,5.8,0.5,3.1,3.6,5.1,1.2,1.4,3.5,2.3,18.2,,,,,,,
215,2015,2,58,"Tokoto, J. P.",SG/SF,North Carolina,J. P. Tokoto,J.P. Tokoto,J.P. Tokoto,JR,2014-15,F,North Carolina,ACC,38,29.1,3.1,7.1,2.7,6.3,0.3,0.8,1.9,3.1,1.6,4,5.6,4.3,1.5,0.3,2.2,2.4,8.3,,,,,,,
152,2014,1,2,"Parker, Jabari",SF/PF,Duke,Jabari Parker,Jabari Parker,Jabari Parker,FR,2013-14,F,Duke,ACC,35,30.7,6.7,14.3,5.7,11.2,1.1,3,4.6,6.1,3,5.7,8.7,1.2,1.1,1.2,2.3,2.4,19.1,,,,,,,
68,2012,2,34,"Crowder, Jae",SF,Marquette,Jae Crowder,Jae Crowder,Jae Crowder,SR,2011-12,F,Marquette,Big East,35,32.9,6.2,12.5,4.5,7.4,1.7,5.1,3.4,4.6,2,6.4,8.4,2.1,2.5,1,1.3,2.7,17.5,,,,,,,
195,2015,1,3,"Okafor, Jahlil",C,Duke,Jahlil Okafor,Jahlil Okafor,Jahlil Okafor,FR,2014-15,C,Duke,ACC,38,30.1,7.3,11.1,7.3,11.1,0,0,2.6,5.1,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3,,,,,,,
32,2011,1,27,"Johnson, JaJuan",PF,Purdue,JaJuan Johnson,JaJuan Johnson,JaJuan Johnson,SR,2010-11,F,Purdue,Big Ten,34,35.4,7.6,15.3,7.1,13.8,0.4,1.5,5,6.1,2.4,6.1,8.6,1,0.9,2.3,1.6,1.6,20.5,,,,,,,
253,2016,2,47,"Layman, Jake",SF,Maryland,Jake Layman,Jake Layman,Jake Layman,SR,2015-16,F,Maryland,Big Ten,36,30.9,3.9,7.8,2.3,3.8,1.6,4,2.2,2.6,1.1,4.2,5.3,1.1,1.1,1,1.7,1.9,11.6,,,,,,,
273,2016,1,9,"Poeltl, Jakob",C,Utah,Jakob Poeltl,Jakob Poeltl,Jakob Poeltl,SO,2015-16,F,Utah,Pac-12,36,30.4,6.3,9.8,6.3,9.8,0,0,4.6,6.6,2.8,6.3,9.1,1.9,0.6,1.6,2.1,2.3,17.2,,,,,,,
246,2016,1,7,"Murray, Jamal",SG/PG,Kentucky,Jamal Murray,Jamal Murray,Jamal Murray,FR,2015-16,G,Kentucky,SEC,36,35.2,6.8,14.9,3.6,7.3,3.1,7.7,3.3,4.2,1.5,3.7,5.2,2.2,1,0.3,2.3,2.1,20,,,,,,,
120,2013,2,50,"Ennis, James",SF,Long Beach State,James Ennis,James Ennis,James Ennis,SR,2012-13,G,Long Beach State,Big West,33,33.1,5.5,11.2,3.8,6.6,1.7,4.7,3.8,4.6,2,4.7,6.7,2.1,1.8,1.3,3,2.3,16.5,,,,,,,
